url,match_term,content_type,snippet
https://www.botgc.co.uk/societies,club manager,text/html; charset=UTF-8,"Shop staff are on hand to assist you in the organisation of the day. Packages can be tailored to your individual needs, please contact the Club Manager, or for more information and prices on 01283 544551 Option 3 or email clubmanager @botgc.co.uk Packages include: Prizes can be supplied. Su"
https://www.botgc.co.uk/green_fees,club manager,text/html; charset=UTF-8,"8 Holes £30.00 Visitor 9 Holes £15.00 Visitor Day £50.00 For additional rates for County Card Holders and Groups of 12+, please contact the Club Manager by email: clubmanager@botgc.co.uk or telephone: 01283 544551 option 1. To book a green fee book online or contact the Professional shop 012"
https://www.botgc.co.uk/contact_us,club manager,text/html; charset=UTF-8,Contact Us Pages Meet the team Careers Find Us Contact Us Address 43 Ashby Road East Burton On Trent Derbyshire DE15 0PS Tel: 01283 544551 Club Manager - Phil Joynes Tel: 01283 544551 Ext 1 Contact Phil by Email: clubmanager@botgc.co.uk Finance/Admin Office Tel: 01283 544551 Ext 2 Contact b
https://www.botgc.co.uk/contact_us,phil joynes,text/html; charset=UTF-8,es Meet the team Careers Find Us Contact Us Address 43 Ashby Road East Burton On Trent Derbyshire DE15 0PS Tel: 01283 544551 Club Manager - Phil Joynes Tel: 01283 544551 Ext 1 Contact Phil by Email: clubmanager@botgc.co.uk Finance/Admin Office Tel: 01283 544551 Ext 2 Contact by Email: secre
https://www.botgc.co.uk/contact_us,phil joyne,text/html; charset=UTF-8,es Meet the team Careers Find Us Contact Us Address 43 Ashby Road East Burton On Trent Derbyshire DE15 0PS Tel: 01283 544551 Club Manager - Phil Joynes Tel: 01283 544551 Ext 1 Contact Phil by Email: clubmanager@botgc.co.uk Finance/Admin Office Tel: 01283 544551 Ext 2 Contact by Email: secr
https://www.botgc.co.uk/contact_us,joynes,text/html; charset=UTF-8,et the team Careers Find Us Contact Us Address 43 Ashby Road East Burton On Trent Derbyshire DE15 0PS Tel: 01283 544551 Club Manager - Phil Joynes Tel: 01283 544551 Ext 1 Contact Phil by Email: clubmanager@botgc.co.uk Finance/Admin Office Tel: 01283 544551 Ext 2 Contact by Email: secre
https://www.botgc.co.uk/pathway,club manager,text/html; charset=UTF-8,"morning after Ladies if space available. No play on Wednesday. Must be booked via the Pro Shop and at their discretion. Please contact our Club Manager for further assistance clubmanager@botgc.co.uk 43 Ashby Road East, Burton On Trent, Derbyshire, DE15 0PS Tel: 01283 544551 Email: clubmanag"
https://www.botgc.co.uk/meettheteam,club manager,text/html; charset=UTF-8,"ership Visitors Course Clubhouse Contact Us Members Hub Contact Us Pages Meet the team Careers Find Us Meet the Management team Phil Joynes Club Manager Contact: clubmanager@botgc.co.uk Vacant Finance/Admin Officer Contact: accounts@botgc.co.uk Leon Dalton Course Manager 43 Ashby Road East,"
https://www.botgc.co.uk/meettheteam,phil joynes,text/html; charset=UTF-8,e Login Membership Visitors Course Clubhouse Contact Us Members Hub Contact Us Pages Meet the team Careers Find Us Meet the Management team Phil Joynes Club Manager Contact: clubmanager@botgc.co.uk Vacant Finance/Admin Officer Contact: accounts@botgc.co.uk Leon Dalton Course Manager 43 Ashb
https://www.botgc.co.uk/meettheteam,phil joyne,text/html; charset=UTF-8,e Login Membership Visitors Course Clubhouse Contact Us Members Hub Contact Us Pages Meet the team Careers Find Us Meet the Management team Phil Joynes Club Manager Contact: clubmanager@botgc.co.uk Vacant Finance/Admin Officer Contact: accounts@botgc.co.uk Leon Dalton Course Manager 43 Ash
