memberId,roundsPlayedLastYear,competitionsPlayedLastYear,status
2739,1,1,OK
2212,40,40,OK
2265,15,15,OK
1708,14,14,OK
2242,28,28,OK
1801,5,5,OK
2736,1,1,OK
3486,14,14,OK
1616,5,5,OK
1617,27,27,OK
3517,1,1,OK
1460,20,20,OK
16,0,0,OK
2288,19,19,OK
453,9,9,OK
18,0,0,OK
416,35,35,OK
24,15,15,OK
25,0,0,OK
1228,0,0,OK
1647,8,7,OK
424,34,34,OK
1188,25,25,OK
2345,45,45,OK
1633,11,11,OK
2766,0,0,OK
3334,10,10,OK
1224,12,12,OK
180,6,5,OK
41,3,3,OK
3377,7,7,OK
3627,3,3,OK
3526,9,8,OK
2207,14,14,OK
749,9,7,OK
39,13,13,OK
765,46,46,OK
1774,13,13,OK
1773,23,23,OK
3680,4,4,OK
3123,0,0,OK
2818,4,3,OK
3269,8,7,OK
493,17,17,OK
59,0,0,OK
940,15,15,OK
1236,40,40,OK
321,0,0,Expecting value: line 1 column 1 (char 0)
61,31,31,OK
3455,17,13,OK
1786,0,0,OK
1423,11,11,OK
730,0,0,OK
2690,1,1,OK
2338,20,20,OK
2667,15,13,OK
3529,25,25,OK
74,35,35,OK
648,10,10,OK
3200,27,26,OK
2430,4,3,OK
1570,4,4,OK
80,22,22,OK
1052,43,43,OK
510,0,0,OK
1818,21,21,OK
3432,17,17,OK
2315,26,26,OK
3605,0,0,Expecting value: line 1 column 1 (char 0)
719,0,0,OK
98,40,40,OK
2695,26,26,OK
2939,18,18,OK
2274,0,0,OK
2219,0,0,OK
3113,13,13,OK
3356,10,10,OK
1763,43,43,OK
3131,23,23,OK
57,27,27,OK
1486,1,0,OK
2396,13,13,OK
2879,4,4,OK
677,9,9,OK
1408,0,0,OK
829,1,1,OK
141,0,0,OK
271,2,2,OK
1182,15,15,OK
944,0,0,OK
636,18,18,OK
1631,22,22,OK
1008,10,10,OK
161,16,15,OK
528,5,4,OK
471,8,7,OK
549,2,2,OK
1624,18,18,OK
3114,12,12,OK
1305,4,4,OK
3790,0,0,Expecting value: line 1 column 1 (char 0)
1767,40,40,OK
1543,44,44,OK
2826,20,19,OK
2369,41,41,OK
1406,25,25,OK
807,33,33,OK
3478,31,31,OK
1499,0,0,OK
1548,37,37,OK
3047,2,2,OK
619,51,51,OK
3077,25,25,OK
2729,8,8,OK
2424,1,1,OK
3310,21,21,OK
2217,3,1,OK
3065,16,16,OK
686,34,34,OK
2360,19,18,OK
676,19,19,OK
3756,0,0,Expecting value: line 1 column 1 (char 0)
1399,50,42,OK
1516,24,14,OK
3331,0,0,OK
866,23,23,OK
3321,40,40,OK
2279,44,44,OK
3048,1,1,OK
255,35,35,OK
645,15,15,OK
451,28,28,OK
3369,58,58,OK
2256,32,32,OK
589,6,6,OK
3232,7,7,OK
1444,16,14,OK
775,2,2,OK
674,6,6,OK
1385,1,1,OK
1207,27,27,OK
2684,16,15,OK
984,0,0,OK
3530,35,35,OK
284,5,4,OK
64,18,18,OK
3600,20,20,OK
289,13,13,OK
3603,0,0,Expecting value: line 1 column 1 (char 0)
679,22,22,OK
1154,13,13,OK
1697,7,7,OK
2418,12,12,OK
2331,18,15,OK
302,0,0,OK
2255,1,1,OK
3210,8,7,OK
1762,50,50,OK
987,0,0,OK
651,18,18,OK
1360,4,4,OK
2878,11,11,OK
1350,3,1,OK
764,10,8,OK
1488,12,12,OK
2277,0,0,OK
712,47,47,OK
3418,54,53,OK
2247,11,11,OK
2160,1,1,OK
1831,1,1,OK
1492,0,0,Expecting value: line 1 column 1 (char 0)
3378,16,13,OK
2383,3,1,OK
2306,16,16,OK
3399,36,34,OK
3476,0,0,Expecting value: line 1 column 1 (char 0)
969,41,41,OK
