osm_type,osm_id,name,lat,lon,leisure,golf,operator,website,phone,email,addr_street,addr_city,addr_county,addr_postcode,is_in
way,1202532526,1320,52.3984983,0.5691195,,clubhouse,,,,,,,,,
way,120458029,18 hole Blue Monster Course,53.3375505,-1.3075722,golf_course,,,,,,,,,,
way,1447938345,2019 Course,56.1369514,-3.1583984,golf_course,,Fife Golf Trust,https://fifegolftrust.co.uk/dunnikier-golf-course/,,,Dunnikier Way,Kirkcaldy,,KY1 3LP,
way,508221481,9 Hole Par 3 Golf Course,51.597989,-0.3020925,golf_course,,,,,,,,,,
relation,3960969,Abbey Hill Golf Centre,52.0442567,-0.8117644,golf_course,,,https://abbeyhillgc.co.uk/,+44 1908 562566,,Monks Way,Milton Keynes,,MK8 8AA,
way,160409181,Abbey Hill Golf Centre,52.0439188,-0.8105258,,clubhouse,,,,,Monks Way,Milton Keynes,,MK8 8AA,
way,160409184,Abbey Hill Golf Club,52.0435742,-0.8112846,,clubhouse,,,,,Monks Way,Milton Keynes,,MK8 8AA,
way,10153868,Abbey Moor Golf Club,51.3791109,-0.4997144,golf_course,,,,,,,,,,
way,814464110,Abbeydale Golf Club,53.325568,-1.5041291,golf_course,,,https://www.abbeydalegolfclub.co.uk/,+44 114 2365633,,Twentywell Lane,Sheffield,,S17 4QA,
relation,3976904,Abbotsley Golf Hotel,52.1963068,-0.2396806,golf_course,,,http://www.abbotsley.com/,+44 1480 474000,,Potton Road,St Neots,,PE19 6XN,
way,40931567,Aberdare Golf Club,51.715759,-3.4262368,golf_course,,,,,,,,,,
relation,12254691,Aberdelghy Golf Course,54.5351783,-6.0226695,golf_course,,,,,,,,,,
way,95090549,Aberdour Golf Club,56.0463831,-3.3065996,golf_course,,,https://www.aberdourgolfclub.co.uk/,+44 1383 860 256,info@aberdourgolfclub.co.uk,Seaside Place,Aberdour,,KY3 0TX,
way,485021413,Aberdour Golf Club,56.0490784,-3.2992474,,clubhouse,,,,,Seaside Place,Aberdour,,KY3 0TX,
way,100654379,Aberdulais Golf Range & Academy,51.6767542,-3.7771745,golf_course,,,,,,,,,,
way,1436984939,Aberfeldy Golf Club,56.6215869,-3.8717574,,clubhouse,,,,,,,,,
way,131995963,Aberfeldy Golf Club,56.623279,-3.8671047,golf_course,,,https://www.aberfeldy-golfclub.co.uk/,+44 1887 820535,aberfeldygolfclub@btconnect.com,Taybridge Road,Aberfeldy,,PH15 2BH,
way,70755619,Aberfoyle Golf Club,56.1765332,-4.3619262,golf_course,,,https://www.aberfoylegolf.co.uk/,+44 1877 382493,secretary@aberfoylegolf.co.uk,,"Braeval, Aberfoyle",,FK8 3UY,
way,100119304,Abergele Golf Club,53.2852457,-3.6042017,golf_course,,,,,,,,,,
way,739067431,Abernethy Golf club,57.2715495,-3.6499087,golf_course,,,https://www.abernethygolfclub.com/,+44 1479 821305,info@abernethygolfclub.com,,Nethy Bridge,,PH25 3EB,
way,765985742,Abernethy Golf Club,57.2697159,-3.6536399,,clubhouse,,https://www.abernethygolfclub.com/,+44 1479 821305,info@abernethygolfclub.com,,Nethy Bridge,,PH25 3EB,
way,1493651971,Aberystwyth Golf Course,52.423774,-4.0722043,golf_course,,,,,,,,,,
way,249131645,Aboyne Golf Club House,57.0839744,-2.770173,,clubhouse,,,,,Golf Road,Aboyne,,AB34 5HP,
way,235330071,Aboyne Golf Course,57.0841704,-2.7708823,golf_course,,,https://www.aboynegolfclub.co.uk/,+44 13398 86328,,Formaston Park,Aboyne,,AB34 5HP,
way,231370473,Abridge Golf and Country Club,51.6665897,0.1473394,golf_course,,,,,,Epping Lane,Stapleford Tawney,,RM4 1ST,
way,85989739,Academy Course,51.2945278,0.9415609,golf_course,,,,,,,,,,
way,1096330531,Academy Course,52.8610822,-2.6428302,golf_course,,Hawkstone Park,,,,,,,,
way,51343442,Accrington and District Golf Club,53.7565796,-2.409962,golf_course,,,https://www.accringtongolfclub.com/,+44 1254 381614,info@accringtongolfclub.com,Devon Avenue,Accrington,,BB5 4LS,
relation,4034056,Addington Court Golf Club,51.345989,-0.0288394,golf_course,,,https://www.addingtoncourt-golfclub.co.uk/,+44 20 8657 0281,,Featherbed Lane,Croydon,,CR0 9AA,
way,5020251,Addington Palace Golf Club,51.3616452,-0.0429925,golf_course,,,,,,Gravel Hill,Croydon,,CR0 5BB,
way,187707595,Addlethorpe Golf Club,53.1899645,0.3106513,golf_course,,,,,,,,,,
way,136240651,Adlington Golf Centre,53.3325525,-2.1408925,golf_course,,,https://adlingtongolfcentre.co.uk/,,,,,,,
relation,1436621,Aigas Golf Course,57.4407262,-4.5633891,golf_course,,,https://aigasgolfcourse.co.uk/,,,,,,,
node,13037264302,Ailsa,55.3147547,-4.8343939,golf_course,,,,,,,,,,
way,121110632,Aintree Golf Course,53.4760158,-2.9368434,golf_course,,,https://www.aintree.co.uk/pages/aintree-golf-centre-and-driving-range/,+44 151 523 5157,,Ormskirk Road,Liverpool,,L9 5AS,
way,230098008,Airdrie Golf Club,55.8836018,-3.9857043,golf_course,,info@airdriegolfclub.com,https://www.airdriegolfclub.co.uk/,+44 1236 762195,,Glenmavis Road,Airdrie North,,ML6 0PQ,
way,4251251,Airlinks Golf Course,51.4920774,-0.3915032,golf_course,,,,,,,,,,
way,342485280,Akebar Park Golf Course,54.3069322,-1.7039343,golf_course,,,https://akebarpark.com/akebar-golf/,,,,,,,
way,144622770,Aldeburgh Golf Course,52.1669392,1.5798748,golf_course,,,,,,,,,,
way,1273920781,Aldeburgh Golf Course,52.1636138,1.5751229,golf_course,,,,,,,,,,
way,8036925,Aldenham Golf Club,51.6774246,-0.3607583,golf_course,,,https://aldenhamgolfclub.co.uk/,+44 1923 857889;+44 1923 853929,,Church Lane,Watford,,WD25 8NN,
way,30970073,Alder Root Golf Course,53.4364032,-2.6180108,golf_course,,,,,,Alder Root Lane,Warrington,,WA2 8RZ,
way,39697494,Alderley Edge Golf Club,53.3102549,-2.2470996,golf_course,,,,,,,,,,
way,56257843,Aldersey Green Golf Club,53.1026067,-2.7999932,golf_course,,,https://www.alderseygreengolfclub.co.uk/,+44 1829 782 157,,,Chester,Cheshire,CH3 9EH,
relation,14048916,Aldwark Manor Golf Club,54.0585525,-1.2886158,golf_course,,,http://www.aldwarkmanorgolfclub.co.uk/,,,,York,,YO61 1UF,
way,1042163992,Aldwickbury Park Golf Club,51.8129644,-0.3279863,,clubhouse,,,,,Piggottshill Lane,Harpenden,,AL5 1AB,
way,22776814,Aldwickbury Park Golf Course,51.8139867,-0.3254868,golf_course,,,https://aldwickburyparkgolfclub.co.uk,+44 1582 760112,info@aldwickburyparkgolfclub.co.uk,Piggottshill Lane,Harpenden,,AL5 1AB,
way,812909736,Alexander Park Resort,52.0548648,-2.5163689,golf_course,,,https://www.apresort.co.uk/,,,,,,,
way,511273594,Alexandra Palace Pitch & Putt,51.5946592,-0.1262592,golf_course,,Alexandra Park and Palace Charitable Trust,https://www.alexandrapalace.com/pitch-putt/,+44 1245 257682,,Alexandra Palace Way,London,,N22 7AY,
way,111555535,Alford Golf Club,57.2367521,-2.6964697,golf_course,,,https://www.alfordgolfclub.com/,,,,,,,
way,111808286,Alford Golf Club,57.2340653,-2.7024913,,clubhouse,,,,,,,,,
way,324055663,Alfreton Golf Club,53.0926964,-1.4119573,golf_course,,,https://alfretongolfclub.co.uk/,,,Wingfield Road,Alfreton,,DE55 7LH,
way,457214947,Alice Springs Golf Club,51.748294,-2.929354,,clubhouse,,,,,,,,,
way,803239399,Allendale Golf Club,54.8751005,-2.2487734,golf_course,,,https://www.allendale-golf.com/,,,,,,,
way,1075589939,Allerton Golf Club House,53.3725197,-2.8871483,,clubhouse,,,,,,,,,
way,153471384,Allesley Park Golf Course,52.4192055,-1.5559907,golf_course,,,,,,,,,,
way,105680581,Allhallows Golf Course,51.4705633,0.651518,golf_course,,,,,,,,,,
way,112044082,Allhallows Holiday Park Golf Course,51.4748259,0.6365954,golf_course,,,,,,,,,,
way,731164435,Alness Golf Club,57.7052408,-4.2638763,golf_course,,,https://www.alnessgolf.co.uk/,,,,,,,
