"Index","Total","Status","Rule Number","Rule Name","Title","Folder","Output Path","Duration Seconds","Error","Completed At UTC"
"1","270","skipped","Def.","Ball bounces back out of the hole","Ball Bounces Out Of The Hole – Is It Holed?","output\000_001_Ball_Bounces_Out_Of_The_Hole_Is_It_Holed","output\000_001_Ball_Bounces_Out_Of_The_Hole_Is_It_Holed\junior-version.json","0.06","","2026-08-30T06:47:46.895Z"
"2","270","skipped","R2","General area","What counts as the general area?","output\002_001_What_counts_as_the_general_area","output\002_001_What_counts_as_the_general_area\junior-version.json","0.07","","2026-08-30T06:47:46.901Z"
"3","270","skipped","R4","Maximum of 14 clubs","Too Many Clubs Discovered After Starting Round","output\004_002_Too_Many_Clubs_Discovered_After_Starting_Round","output\004_002_Too_Many_Clubs_Discovered_After_Starting_Round\junior-version.json","0.07","","2026-08-30T06:47:46.902Z"
"4","270","skipped","R4","Maximum of 14 clubs","Borrowing a Club During a Round","output\004_003_Borrowing_a_Club_During_a_Round","output\004_003_Borrowing_a_Club_During_a_Round\junior-version.json","0.07","","2026-08-30T06:47:46.903Z"
"5","270","skipped","R5","Late arrival","Penalty for Arriving Late to the Tee","output\005_001_Penalty_for_Arriving_Late_to_the_Tee","output\005_001_Penalty_for_Arriving_Late_to_the_Tee\junior-version.json","0.00","","2026-08-30T06:47:46.907Z"
"6","270","skipped","R5","Practice putting and chipping","Practising after finishing a hole","output\005_004_Practising_after_finishing_a_hole","output\005_004_Practising_after_finishing_a_hole\junior-version.json","0.01","","2026-08-30T06:47:46.915Z"
"7","270","skipped","R5","Suspension of play/thunderstorm","What to Do When Play Is Suspended Due to a Thunderstorm","output\005_004_What_to_Do_When_Play_Is_Suspended_Due_to_a_Thunderstorm","output\005_004_What_to_Do_When_Play_Is_Suspended_Due_to_a_Thunderstorm\junior-version.json","0.01","","2026-08-30T06:47:46.941Z"
"8","270","skipped","R5","Chipping and putting while waiting","Chipping and putting before your tee shot","output\005_005_Chipping_and_putting_before_your_tee_shot","output\005_005_Chipping_and_putting_before_your_tee_shot\junior-version.json","0.01","","2026-08-30T06:47:46.967Z"
"9","270","skipped","R5","Suspension of play/thunderstorm","What To Do If There's a Risk of Lightning","output\005_005_What_To_Do_If_Theres_a_Risk_of_Lightning","output\005_005_What_To_Do_If_Theres_a_Risk_of_Lightning\junior-version.json","0.01","","2026-08-30T06:47:46.982Z"
"10","270","skipped","R6","Penalty area – Wrong ball","Penalty for hitting the wrong ball in a penalty area","output\006_001_Penalty_for_hitting_the_wrong_ball_in_a_penalty_area","output\006_001_Penalty_for_hitting_the_wrong_ball_in_a_penalty_area\junior-version.json","0.01","","2026-08-30T06:47:47.007Z"
"11","270","skipped","R6","Wrong ball","Penalty for playing the wrong ball","output\006_001_Penalty_for_playing_the_wrong_ball","output\006_001_Penalty_for_playing_the_wrong_ball\junior-version.json","0.01","","2026-08-30T06:47:47.032Z"
"12","270","skipped","R6","Playing from the teeing area","Playing from the wrong teeing area","output\006_001_Playing_from_the_wrong_teeing_area","output\006_001_Playing_from_the_wrong_teeing_area\junior-version.json","0.01","","2026-08-30T06:47:47.067Z"
"13","270","skipped","6","Playing in the wrong order","What happens if you tee off in the wrong order?","output\006_001_What_happens_if_you_tee_off_in_the_wrong_order","output\006_001_What_happens_if_you_tee_off_in_the_wrong_order\junior-version.json","0.00","","2026-08-30T06:47:47.080Z"
"14","270","skipped","6","Teeing area","Defining the teeing area","output\006_002_Defining_the_teeing_area","output\006_002_Defining_the_teeing_area\junior-version.json","0.00","","2026-08-30T06:47:47.106Z"
"15","270","skipped","R6","Tee-markers","Moving the tee-markers","output\006_002_Moving_the_tee_markers","output\006_002_Moving_the_tee_markers\junior-version.json","0.00","","2026-08-30T06:47:47.126Z"
"16","270","skipped","6","Wrong ball","Penalty for playing the wrong ball","output\006_002_Penalty_for_playing_the_wrong_ball","output\006_002_Penalty_for_playing_the_wrong_ball\junior-version.json","0.00","","2026-08-30T06:47:47.145Z"
"17","270","skipped","R6","Wrong ball","What to do if you can't find your original ball after hitting a wrong ball","output\006_002_What_to_do_if_you_cant_find_your_original_ball_after_hitting_a_wrong_ball","output\006_002_What_to_do_if_you_cant_find_your_original_ball_after_hitting_a_wrong_ball\junior-version.json","0.00","","2026-08-30T06:47:47.166Z"
"18","270","skipped","R6","Wrong ball","Consequence of not correcting a wrong ball mistake","output\006_003_Consequence_of_not_correcting_a_wrong_ball_mistake","output\006_003_Consequence_of_not_correcting_a_wrong_ball_mistake\junior-version.json","0.01","","2026-08-30T06:47:47.190Z"
"19","270","skipped","6","Wrong ball","Consequences if you hole out with a wrong ball","output\006_003_Consequences_if_you_hole_out_with_a_wrong_ball","output\006_003_Consequences_if_you_hole_out_with_a_wrong_ball\junior-version.json","0.01","","2026-08-30T06:47:47.210Z"
"20","270","skipped","6","Playing from outside the teeing area","Penalty for playing from outside the teeing area","output\006_003_Penalty_for_playing_from_outside_the_teeing_area","output\006_003_Penalty_for_playing_from_outside_the_teeing_area\junior-version.json","0.01","","2026-08-30T06:47:47.240Z"
"21","270","skipped","R6","Playing in the wrong order","Playing out of turn to save time","output\006_003_Playing_out_of_turn_to_save_time","output\006_003_Playing_out_of_turn_to_save_time\junior-version.json","0.01","","2026-08-30T06:47:47.264Z"
"22","270","skipped","R6","Order of play","Who plays first on the green?","output\006_003_Who_plays_first_on_the_green","output\006_003_Who_plays_first_on_the_green\junior-version.json","0.00","","2026-08-30T06:47:47.274Z"
"23","270","skipped","6","Playing from outside the teeing area","Correcting a teeing area mistake","output\006_004_Correcting_a_teeing_area_mistake","output\006_004_Correcting_a_teeing_area_mistake\junior-version.json","0.02","","2026-08-30T06:47:47.310Z"
"24","270","skipped","R6","The honour/order of play","Order of Play on the First Tee","output\006_004_Order_of_Play_on_the_First_Tee","output\006_004_Order_of_Play_on_the_First_Tee\junior-version.json","0.00","","2026-08-30T06:47:47.385Z"
"25","270","skipped","R6","Playing in the wrong order","Penalty for taking advantage with wrong order of play","output\006_004_Penalty_for_taking_advantage_with_wrong_order_of_play","output\006_004_Penalty_for_taking_advantage_with_wrong_order_of_play\junior-version.json","0.01","","2026-08-30T06:47:47.401Z"
"26","270","skipped","R6","Ball falls off the tee","What happens if your ball falls off the tee accidentally?","output\006_004_What_happens_if_your_ball_falls_off_the_tee_accidentally","output\006_004_What_happens_if_your_ball_falls_off_the_tee_accidentally\junior-version.json","0.01","","2026-08-30T06:47:47.427Z"
"27","270","skipped","Def./R6","Air shot","Does an air shot count as a stroke?","output\006_005_Does_an_air_shot_count_as_a_stroke","output\006_005_Does_an_air_shot_count_as_a_stroke\junior-version.json","0.00","","2026-08-30T06:47:47.442Z"
"28","270","skipped","R7","Identifying the ball","What to do if you can't tell if the ball is yours","output\007_001_What_to_do_if_you_cant_tell_if_the_ball_is_yours","output\007_001_What_to_do_if_you_cant_tell_if_the_ball_is_yours\junior-version.json","0.01","","2026-08-30T06:47:47.463Z"
"29","270","skipped","R7","Ball disappeared in the sand","What can you do if your ball sinks into the bunker?","output\007_002_What_can_you_do_if_your_ball_sinks_into_the_bunker","output\007_002_What_can_you_do_if_your_ball_sinks_into_the_bunker\junior-version.json","0.00","","2026-08-30T06:47:47.480Z"
"30","270","skipped","R7","Ball moved during a search","What if you move your ball while searching?","output\007_003_What_if_you_move_your_ball_while_searching","output\007_003_What_if_you_move_your_ball_while_searching\junior-version.json","0.00","","2026-08-30T06:47:47.499Z"
