Venners_Code,Venners_Name,Venners_Size,Stock,Venners_Cost,Venners_Value,Stock_Id,Stock_Name,Suggested_Name
017651,PIMMS NO1,1000ml,0,16.01,36.82,52,Pimms No 1,Pimms No No 1 1000ml [017651]
019340,ARCHERS SCHNAPPS,1500ml,0,25.28,25.28,183,Archers Schnapps,Archers Schnapps 1500ml [019340]
021500,MARTINI DRY,1500ml,0,11.68,3.5,50,Martini Extra Dry,Martini Dry 1500ml [021500]
021540,MARTINI RED,1500ml,0,13.24,2.65,51,Martini Rosso,Martini Red 1500ml [021540]
071521,F/TREE AROMATIC,BOTTLE,0,8.36,3.34,219,Fever Tree Aromatic,Fever Tree Aromatic [071521]
071551,F/TREE GINGER ALE,BOTTLE,0,9.18,44.98,220,Fever Tree Ginger Ale,Fever Tree Ginger Ale [071551]
071595,F/TREE LIGHT TONIC,BOTTLE,0,8.25,36.3,151,Fever Tree Tonic Light,Fever Tree Light Tonic [071595]
071581,F/TREE TONIC,BOTTLE,0,8.25,56.1,152,Fever Tree Tonic Water,Fever Tree Tonic [071581]
019836,CURACAO BLUE DKY,350ml,0,10.15,8.12,284,De Kuyper Blue Curacao,Curacao Blue Dky 350ml [019836]
018081,AMARETTO,700ml,0,20.58,67.91,128,Amaretto,Amaretto 700ml [018081]
018091,AMARETTO WHITE,700ml,0,19.86,37.73,181,Amaretto White,Amaretto White 700ml [018091]
019837,APEROL,700ml,0,12,36,309,Aperol,Aperol 700ml [019837]
019341,ARCHERS PEACH SCH,700ml,0,14.22,14.22,23,Archers Peach,Archers Peach Schnapps 700ml [019341]
014041,AUCHENTOSHAN,700ml,0,23.48,14.09,177,Auchentoshan,Auchentoshan 700ml [014041]
011071,BACARDI,700ml,0,14.97,49.4,24,Bacardi,Bacardi 700ml [011071]
018151,BAILEYS IRISH CRM,700ml,0,15.89,60.38,25,Baileys Irish Cream,Baileys Irish Cream 700ml [018151]
013071,BELLS,700ml,0,17.39,83.47,26,Bells Scotch Whisky,Bells Scotch Whisky 700ml [013071]
018171,BENEDICTINE,700ml,0,15.42,13.88,27,Benedictine,Benedictine 700ml [018171]
012081,BOMBAY SAPPHIRE,700ml,0,20.41,8.16,28,Bombay Sapphire,Bombay Sapphire Gin 700ml [012081]
014091,BOWMORE 12YO,700ml,0,38.96,48.7,30,Bowmore Malt Whisky 12Year,Bowmore Malt Whisky 12yo 700ml [014091]
012101,BROCKMANS GIN,700ml,0,31.62,82.21,31,Brockmans Gin,Brockmans Gin 700ml [012101]
012116,BROOKLYN GIN,700ml,0,25.4,2.54,32,Brooklyn Gin,Brooklyn Gin 700ml [012116]
011201,CAPT MORGAN DARK,700ml,0,19.07,32.42,161,Captain Morgan Dark Rum,Captain Morgan Dark 700ml [011201]
010161,COURVOISIER VS,700ml,0,29.17,23.34,35,Courvoisier VS,Courvoisier Vs 700ml [010161]
029121,CRABBIES GINGER,700ml,0,8.69,6.08,8,Crabbies Ginger Beer,Crabbies Ginger Beer 700ml [029121]
011231,DEAD MAN PASSION,700ml,0,0,0,188,Dead Mans Fingers Passion Fruit Rum Bottle,Dead Man Passion Fruit Rum 700ml [011231]
018501,DRAMBUIE,700ml,0,29.92,50.86,37,Drambuie,Drambuie 700ml [018501]
013271,FAMOUS GROUSE,700ml,0,19.15,42.13,38,The Famous Grouse Scotch Whisky,Famous Grouse Scotch Whisky 700ml [013271]
012306,FOUR PILLARS GIN,700ml,0,17.24,6.9,277,Four Pillars Gin,Four Pillars Gin 700ml [012306]
014371,GLEN SCOTIA,700ml,0,10.95,7.67,178,Glen Scotia,Glen Scotia 700ml [014371]
014415,GLENLIVET FOUNDERS,700ml,0,57.4,132.02,179,Glenlivet Malt Whisky 12YO,Glenlivet Founders Malt Whisky 700ml [014415]
014431,GLENMORANGIE 10YR,700ml,0,33.15,39.78,39,Glenmorangie Malt Whisky 12YO,Glenmorangie Malt Whisky 10yr 700ml [014431]
