Code,OverrideBaseUnit,TradeUnitName,ConversionRatio,PrecisionOfUnits,Notes
010018,GRAM,Bag 1kg,1000,0.01,"Pigs in Blankets bag ≈1kg"
010014,GRAM,Tub 2.2kg,2200,0.01,"Cocktail sausages tub ~2.2kg"
020001,GRAM,Pack 170g,170,0.1,"Cod fillet ≈170g each; set per-each mass"
020008,GRAM,Box 2.4kg,2400,0.1,"Fish cakes box ≈24×100g"
020002,GRAM,Box 1.8kg,1800,0.1,"Jumbo fish fingers 36×50g ≈1.8kg"
030001,GRAM,Block 250g,250,0.1,"Butter block 250g"
030002,GRAM,Box 1kg,1000,0.1,"Butter portions 100×10g"
030023,GRAM,Packet 1kg,1000,0.1,"Cheese slices ~1kg catering pack"
030024,GRAM,Packet 1kg,1000,0.1,"Vegan cheese slices ~1kg"
030007,GRAM,Log 1kg,1000,0.1,"Goat’s cheese log ~1kg"
030009,GRAM,Tub 1.6kg,1600,0.01,"Philadelphia 1.6kg"
030010,GRAM,Pot 170g,170,0.1,"Clotted cream pot ~170g"
030013,ML,Carton 1L,1000,0.01,"Ambient custard 1L carton typical"
030014,GRAM,Each 60g,60,1.0,"Egg ~60g"
030021,ML,Carton 1L,1000,0.01,"Soya milk 1L"
040003,GRAM,Loaf 800g,800,0.1,"Wholemeal loaf 800g"
040004,GRAM,Loaf 800g,800,0.1,"White loaf 800g"
040028,GRAM,Box 1.2kg,1200,0.1,"Ciabatta ~12×100g"
040007,GRAM,Loaf 800g,800,0.1,"Hovis brown 800g"
040008,GRAM,Loaf 800g,800,0.1,"Hovis white 800g"
040029,GRAM,Roll 80g,80,0.1,"GF roll ~80g"
040009,GRAM,Bun 60g,60,0.1,"Brioche bun ~60g"
040010,GRAM,Bun 70g,70,0.1,"Floured bun ~70g"
040027,GRAM,Box 900g,900,0.1,"Garlic bread cases ≈900g total"
040012,GRAM,Naan 120g,120,0.1,"Naan ~120g"
040030,GRAM,Box 1kg,1000,0.1,"Sablés cases ~1kg total"
040021,GRAM,Roll 65g,65,0.1,"Soup roll ~65g"
040022,GRAM,Teacake 70g,70,0.1,"Teacake ~70g"
040023,GRAM,Packet 370g,370,0.1,"Tortilla wraps pack ~370g"
050012,GRAM,Portion 140g,140,0.1,"Trillionaire’s cheesecake slice ~140g"
050014,GRAM,Portion 120g,120,0.1,"GF choc fudge cake slice ~120g"
050015,GRAM,Each 110g,110,0.1,"Chocolate pudding ~110g"
050002,GRAM,Each 105g,105,0.1,"Christmas pud individual ~105g"
050009,GRAM,Box 420g,420,0.1,"Mince pies 6×70g"
050010,GRAM,Each 120g,120,0.1,"Sticky toffee pudding ~120g"
050013,GRAM,Portion 120g,120,0.1,"GF Victoria sponge slice ~120g"
060001,GRAM,Each 180g,180,0.1,"Apple ~180g"
060058,GRAM,Bunch 250g,250,0.1,"Asparagus bunch ~250g"
060004,GRAM,Each 800g,800,0.1,"White cabbage ~800g"
060056,GRAM,Punnet 300g,300,0.1,"Rainbow carrots punnet ~300g"
060057,GRAM,Head 400g,400,0.1,"Celery head ~400g"
060007,GRAM,Punnet 100g,100,0.1,"Cress punnet ~100g"
060008,GRAM,Each 300g,300,0.1,"Cucumber ~300g"
060036,GRAM,String 250g,250,0.1,"Garlic string ~250g"
060037,GRAM,Punnet 500g,500,0.1,"Grapes punnet 500g"
060038,GRAM,Bunch 30g,30,0.1,"Fresh herbs bunch ~30g"
060039,GRAM,Each 120g,120,0.1,"Lemon ~120g"
060040,GRAM,Packet 250g,250,0.1,"Baby gem (2-pack) ~250g"
060060,GRAM,Bunch 100g,100,0.1,"Spring onions bunch ~100g"
060047,GRAM,Bag 10kg,10000,0.01,"Baby new potatoes 10kg"
060049,GRAM,Bag 25kg,25000,0.01,"Maris potatoes 25kg"
060050,GRAM,Bag 250g,250,0.1,"Radish bag ~250g"
060053,GRAM,Punnet 400g,400,0.1,"Strawberries punnet ~400g"
070008,ML,Bottle 500ml,500,0.1,"Millfresh milk 500ml"
070010,GRAM,Tin 500g,500,0.1,"Nescafé decaf 500g"
070012,GRAM,Bag 2.75kg,2750,0.01,"Tetley 1100’s ~2.75kg"
080001,ML,Tub 2.35L,2350,0.01,"Apple sauce 2.35L (≈2.35kg)"
080002,ML,Squeezy 500ml,500,0.1,"Balsamic glaze 500ml"
080004,ML,Bottle 1L,1000,0.1,"BBQ 1L"
080044,ML,Bottle 1L,1000,0.1,"Burger sauce 1L"
080009,ML,Tub 2.27L,2270,0.01,"Caesar dressing 2.27L"
080013,GRAM,Tub 2.3kg,2300,0.01,"Curry paste 2.3kg"
080014,ML,Bottle 1L,1000,0.1,"Dessert sauces assortment — treat per 1L"
080043,GRAM,Tub 750g,750,0.1,"Ginger purée 750g"
080017,GRAM,Tub 2.27kg,2270,0.01,"Horseradish 2.27kg"
080045,GRAM,Tub 2.6kg,2600,0.01,"Mango chutney 2.6kg"
080020,ML,Bottle 1L,1000,0.1,"Vegan mayo 1L"
080021,ML,Tub 5L,5000,0.01,"Mayonnaise 5L"
080024,GRAM,Tub 2.27kg,2270,0.01,"Dijon mustard 2.27kg"
080029,GRAM,Box 1kg,1000,0.1,"Sachet chocolate (Brown) ≈1kg"
080032,ML,Squeezy 465ml,465,0.1,"Squeezy BBQ 465ml"
080034,ML,Squeezy 220ml,220,0.1,"Squeezy mayo 220ml"
080035,ML,Squeezy 425ml,425,0.1,"Squeezy salad cream 425ml"
080036,ML,Squeezy 342ml,342,0.1,"Squeezy tomato 342ml"
080039,ML,Bottle 568ml,568,0.1,"Worcester 568ml"
080042,GRAM,Tub 2.27kg,2270,0.01,"Yoghurt & mint 2.27kg"
090004,GRAM,Bag 3.5kg,3500,0.01,"Batter mix 3.5kg"
090096,GRAM,Bag 1kg,1000,0.01,"Biscoff crumb 1kg"
090009,GRAM,Jar 1.6kg,1600,0.01,"Biscoff spread 1.6kg"
090011,GRAM,Box 300g,300,0.1,"Lotus biscuits 300g"
090097,GRAM,Box 500g,500,0.1,"Bread sticks 500g"
090017,GRAM,Box 500g,500,0.1,"Special K 500g"
090019,GRAM,Bag 1kg,1000,0.01,"Chocolate callets 1kg"
090020,GRAM,Tub 1.5kg,1500,0.01,"Bournville cocoa 1.5kg"
090021,GRAM,Tin 400g,400,0.1,"Coconut milk 400g"
090022,GRAM,Bag 3.5kg,3500,0.01,"Cornflour 3.5kg"
090032,GRAM,Tub 1.8kg,1800,0.01,"Bisto poultry 1.8kg"
090099,ML,Bottle 1.2L,1200,0.01,"Gravy browning 1.2L"
090035,GRAM,Tub 400g,400,0.1,"Herbs & spices avg tub"
090101,GRAM,Squeezy 340g,340,0.1,"Honey 340g"
090103,GRAM,Jar 2.4kg,2400,0.01,"Chilli jam 2.4kg"
090040,GRAM,Jar 454g,454,0.1,"Jam 454g"
090106,ML,Bottle 500ml,500,0.1,"Basil oil 500ml"
090100,ML,Bottle 200ml,200,0.1,"Garnish oil 200ml"
090105,GRAM,Bag 200g,200,0.1,"Prawn crackers 200g"
090069,GRAM,Box 500g,500,0.1,"Ground pepper 500g"
090070,GRAM,Box 500g,500,0.1,"Salt 500g"
090072,GRAM,Packet 500g,500,0.1,"Sponge fingers 500g"
090110,GRAM,Tub 2kg,2000,0.01,"Pure cane sugar syrup — treat as 2kg"
090079,GRAM,Box 3kg,3000,0.01,"Muscovado sticks/catering ~3kg"
090080,GRAM,Box 2.5kg,2500,0.01,"Sugar sticks brown ~2.5kg"
090081,GRAM,Box 2.5kg,2500,0.01,"Sugar sticks white ~2.5kg"
090084,GRAM,Box 1kg,1000,0.1,"Sweetener 1000×1g"
090111,GRAM,Box 200g,200,0.1,"Taco shells 12×~17g"
090086,GRAM,Tin 800g,800,0.1,"Chopped tomatoes 800g"
090113,ML,Bottle 500ml,500,0.1,"Vanilla essence 500ml"
090093,ML,Tub 5L,5000,0.01,"White wine vinegar 5L"
090094,GRAM,Per kg,1000,0.01,"Walnuts ‘KGS’ i.e., per kg"
100003,GRAM,Each 250g,250,0.1,"Beetroot Wellington ~250g"
100022,GRAM,Each 350g,350,0.1,"Nut roast ~350g"
