Code,StockItemId,CSV_Name,CSV_Size,PreferredTU,ChosenTU,ChosenTU_Id,Quantity,UnitCost,LinePrice
010001,322,BACON 2.27KG,PKT,Packet 2.27kg,Packet 2.27kg,620,8.0,11.05,88.4
010003,547,BEEF SILVERSIDE,KGS,Pack 1kg,Pack 1kg,845,8.0,14.75,118.0
010004,325,BEEF SLICED 500G,EAC,Each 500g,Each 500g,623,2.0,11.75,23.5
010020,326,BLACK PUDDING STICK,KGS,Pack 1kg,Pack 1kg,624,1.0,3.88,3.88
010006,327,CHICKEN FILLET 6OZ,EAC,Each 170g,Each 170g,625,40.0,1.45,58.0
010007,328,CHICKEN NUGGETS,1KG,Pack 1kg,Pack 1kg,626,11.5,8.0,92.0
010011,329,HAM COOKED 500G,PKT,Packet 500g,Packet 500g,627,6.0,5.8,34.8
010018,330,PIGS IN BLANKETS,BAG,Bag 1kg,Bag 1kg,628,5.0,11.88,59.4
010019,331,PORK LOIN,KGS,Kilogram 1L,Kilogram 1L,629,8.0,6.75,54.0
010014,332,SAUSAGE COCKTAIL,2.2,Tub 2.2kg,Tub 2.2kg,630,1.5,19.77,29.66
010016,333,SAUSAGE FRESH 2.5,TRY,Pack 250ml,Pack 250ml,631,5.0,9.78,48.9
010017,334,SAUSAGE PORK 8`S,BOX,Box 2.8kg,Box 2.8kg,632,1.0,20.75,20.75
020001,335,COD FILLETS,EAC,Pack 170g,Pack 170g,633,6.0,3.6,21.6
020008,336,FISH CAKES COD & PRAWN,BOX,Box 2.4kg,Box 2.4kg,634,0.5,38.25,19.13
020002,337,FISH FINGER JUMBO,X36,Box 1.8kg,Box 1.8kg,635,1.5,43.29,64.94
020004,338,PRAWNS 1.5KG,BAG,Bag 1.5kg,Bag 1.5kg,636,0.5,25.2,12.6
020006,339,SCAMPI YOUNGS 450G,BAG,Bag 450g,Bag 450g,637,7.5,7.65,57.38
030001,340,BUTTER BLOCK,EAC,Block 250g,Block 250g,638,46.0,2.25,103.5
030002,341,BUTTER PTNS X100,BOX,Box 1kg,Box 1kg,639,1.5,6.36,9.54
030003,342,CH PARMESAN,KGS,Pack 1kg,Pack 1kg,640,0.5,15.32,7.66
030023,343,CH SLICES,PKT,Packet 1kg,Packet 1kg,641,2.5,9.79,24.48
030004,344,CH STILTON,KGS,Pack 1kg,Pack 1kg,642,1.0,16.95,16.95
030024,345,CH VEGAN,PKT,Packet 1kg,Packet 1kg,643,2.0,3.95,7.9
030005,346,CHEESE BRIE,KGS,Pack 1kg,Pack 1kg,644,2.5,8.99,22.48
030006,347,CHEESE CHED MATURE,KGS,Pack 5.0kg,Pack 5.0kg,645,4.9,13.85,67.87
030007,348,CHEESE GOAT LOG,EAC,Log 1kg,Log 1kg,646,1.5,13.18,19.77
030008,349,CHEESE GRATED 1KG,BAG,Bag 1kg,Bag 1kg,647,5.0,12.75,63.75
030009,350,CHEESE PHILADELPA,1.6,Tub 1.6kg,Tub 1.6kg,648,1.0,12.99,12.99
030010,351,CREAM CLOTTED,EAC,Pot 170g,Pot 170g,649,2.0,0.36,0.72
030011,352,CREAM M/LAND 1LTR,LTR,Pack 1L,Pack 1L,650,10.0,3.33,33.3
030013,353,CUSTARD,EAC,Carton 1L,Carton 1L,651,15.0,1.67,25.05
030014,354,EGGS,EAC,Each 60g,Each 60g,652,240.0,0.24,57.6
030015,355,FLORA BUTTERY,2KG,Pack 2.0kg,Pack 2.0kg,653,5.0,16.19,80.95
030018,356,MILK 2LTR,TUB,Tub 2.0L,Tub 2.0L,654,10.0,1.45,14.5
030021,357,MILK SOYA,LTR,Carton 1L,Carton 1L,655,2.0,2.48,4.96
040003,358,BREAD BAKER W/MEAL,EAC,Loaf 800g,Loaf 800g,656,6.0,2.37,14.22
040004,359,BREAD BAKER WHITE,EAC,Loaf 800g,Loaf 800g,657,9.0,2.53,22.77
040028,360,BREAD CIABATTA,BOX,Box 1.2kg,Box 1.2kg,658,1.0,11.75,11.75
040006,361,BREAD G/F SLICED,EAC,Each 10ml,Each 10ml,659,1.5,1.97,2.96
