Group,Name,Code,Price,Pack,QuantityPerPack,WeightPerItem,Unit,Page
"FLOUR & SUGAR, FLOUR",Plain Flour,4601,3.65,3kg,1,3.0,kg,1
"FLOUR & SUGAR, FLOUR",Flour Italian 00,4621,1.87,1kg,1,1.0,kg,1
"FLOUR & SUGAR, FLOUR",GLUTEN FREE Flour Self Raising,4697,12.95,3kg,1,3.0,kg,1
"FLOUR & SUGAR, FLOUR",Self Raising Flour,4600,3.95,3kg,1,3.0,kg,1
"FLOUR & SUGAR, FLOUR",Corn Flour,4599,9.69,3.5kg,1,3.5,kg,1
"FLOUR & SUGAR, FLOUR",GLUTEN FREE Plain Flour,4625,12.95,3kg,1,3.0,kg,1
"FLOUR & SUGAR, FLOUR",Flour (Strong Bread),1795,1.42,1.5kg,1,1.5,kg,1
"FLOUR & SUGAR, FLOUR",Flour - Gram,4608,5.85,2kg,1,2.0,kg,1
"FLOUR & SUGAR, FLOUR",Flour - Wholemeal,8030,2.25,1.5kg,1,1.5,kg,1
"FLOUR & SUGAR, SUGAR",Caster Sugar,4556,3.95,2kg,1,2.0,kg,1
"FLOUR & SUGAR, SUGAR",Icing Sugar,4552,7.95,3kg,1,3.0,kg,1
"FLOUR & SUGAR, SUGAR",Granulated Sugar 1kg,4381,1.99,1kg,1,1.0,kg,1
"FLOUR & SUGAR, SUGAR",Dark Soft Brown Sugar,5746,9.99,3kg,1,3.0,kg,1
"FLOUR & SUGAR, SUGAR",Sugar Sachets White,8445,7.05,1x1000,1000,,,1
"FLOUR & SUGAR, SUGAR",Sugar Sachets Brown,8444,7.31,1x1000,1000,,,1
"FLOUR & SUGAR, SUGAR",Demerara Sugar 3Kg,4549,6.9,3Kg,1,3.0,Kg,1
"FLOUR & SUGAR, SUGAR",Sugar Rough Cut White,4514,45.7,1kg,1,1.0,kg,1
"FLOUR & SUGAR, SUGAR",Muscovado Sugar,4553,1.28,500g,1,500.0,g,1
"FLOUR & SUGAR, SUGAR",Golden Syrup,4554,21.95,7.26kg,1,7.26,kg,1
"FLOUR & SUGAR, SUGAR",Light Soft Brown Sugar,5745,9.95,3kg,1,3.0,kg,1
"FLOUR & SUGAR, SUGAR",Sugar Rough Cut Brown,4515,45.56,1kg,1,1.0,kg,1
"FLOUR & SUGAR, SUGAR",Black Treacle,4519,21.5,7.25kg,1,7.25,kg,1
TINNED GOODS,Pineapple Slices In Juice (Tin),4397,15.22,820g,1,820.0,g,1
TINNED GOODS,Chopped Tomatoes (Tin),4304,24.0,2.5kg,1,2.5,kg,1
TINNED GOODS,Roasted Red Peppers (Tin),4392,49.98,2.5kg,1,2.5,kg,1
TINNED GOODS,Baked Beans,4300,24.0,2.6kg,1,2.6,kg,1
TINNED GOODS,Solid Pack Apple,4395,33.04,2.6kg,1,2.6,kg,1
TINNED GOODS,Chick Peas (Tin),4319,9.5,800g,1,800.0,g,1
TINNED GOODS,Tomato Paste (Tin),4473,32.0,800g,1,800.0,g,1
TINNED GOODS,Mushy Peas (Tin),4310,24.6,2.6kg,1,2.6,kg,1
TINNED GOODS,Coconut Milk (Tin),4077,14.95,400ml,1,400.0,ml,1
TINNED GOODS,Cannellini Beans (Tin),4316,11.94,800g,1,800.0,g,1
TINNED GOODS,Butter Beans (Tin),4314,11.95,800g,1,800.0,g,1
TINNED GOODS,Peeled Plum Tomatoes (Tin),4303,25.95,2.5kg,1,2.5,kg,1
TINNED GOODS,Red Kidney Beans (Tin),4313,9.27,800g,1,800.0,g,1
TINNED GOODS,Five Bean Salad,1384,7.87,800g,1,800.0,g,1
TINNED GOODS,Peach Slices (Tin),5715,2.5,820g,1,820.0,g,1
TINNED GOODS,Solid Pack Rhubarb 2.8kg,4396,43.35,2.8kg,1,2.8,kg,1
TINNED GOODS,Tuna Chunks in Brine (Tin),4344,72.93,1.7kg,1,1.7,kg,1
TINNED GOODS,Jalapenos Sliced (Tin),4065,40.7,2.95 kg,1,2.95,kg,1
TINNED GOODS,Sweetcorn (Tin),4309,39.0,2.12kg,1,2.12,kg,1
TINNED GOODS,Jack Fruit in Water (Tin),4078,81.04,24 x 482g,24,482.0,g,1
TINNED GOODS,Cherry Pie Filling (Dark),4752,11.3,2kg,1,2.0,kg,1
TINNED GOODS,Baby Pears Tin,4347,4.5,425g,1,425.0,g,1
TINNED GOODS,Dark Pitted Cherries,4644,3.05,810g,1,810.0,g,1
TINNED GOODS,Baby Apples (Tin),4346,2.25,425g,1,425.0,g,1
TINNED GOODS,Roquito Chilli Pepper Pearls,4391,11.88,793g,1,793.0,g,1
TINNED GOODS,Black Beans (Tinned),9387,0.86,400g,1,400.0,g,1
TINNED GOODS,Borlotti Beans (Tin),4317,9.0,800g,1,800.0,g,1
CONDIMENTS & SAUCES,Lemon Juice 100%,4433,2.49,1ltr,1,1.0,ltr,1
CONDIMENTS & SAUCES,Mayonnaise,4459,11.95,5ltr,1,5.0,ltr,1
CONDIMENTS & SAUCES,Vegan Mayonnaise (Premium),4687,19.98,5ltr,1,5.0,ltr,1
CONDIMENTS & SAUCES,Squeezy Honey,4603,4.6,500ml,1,500.0,ml,1
CONDIMENTS & SAUCES,Custard (Ready to use),4501,2.95,1ltr,1,1.0,ltr,1
CONDIMENTS & SAUCES,Mayonnaise (Squeezy),4483,3.45,1ltr,1,1.0,ltr,1
CONDIMENTS & SAUCES,Apple Sauce,4653,8.05,2.3kg,1,2.3,kg,1
CONDIMENTS & SAUCES,Onion Marmalade,4410,15.64,1.35 kg,1,1.35,kg,1
CONDIMENTS & SAUCES,Strawberry Jam (Tub),4243,13.55,2.72kg,1,2.72,kg,1
CONDIMENTS & SAUCES,Mayonnaise Garlic,2665,3.36,1ltr,1,1.0,ltr,1
CONDIMENTS & SAUCES,Yoghurt & Mint Sauce,1056,3.5,1ltr,1,1.0,ltr,1
CONDIMENTS & SAUCES,Tomato Ketchup,4440,6.29,4ltr,1,4.0,ltr,1
CONDIMENTS & SAUCES,Lime Juice 100%,4434,2.49,1ltr,1,1.0,ltr,1
CONDIMENTS & SAUCES,American Smokey BBQ Sauce,4657,10.54,2.27ltr,1,2.27,ltr,1
CONDIMENTS & SAUCES,Horseradish Sauce,4444,10.5,2.27ltr,1,2.27,ltr,1
CONDIMENTS & SAUCES,Salsa (Chunky),6542,10.5,2.3kg,1,2.3,kg,1
CONDIMENTS & SAUCES,Cranberry Sauce,4470,13.0,2.5kg,1,2.5,kg,1
CONDIMENTS & SAUCES,Hot Honey (Roquito),4432,5.04,720g,1,720.0,g,1
CONDIMENTS & SAUCES,Mustard Coarse Grain (Tub),4318,9.95,2.27lt,1,2.27,lt,1
CONDIMENTS & SAUCES,Classic American Yellow Mustard,4678,2.5,226g,1,226.0,g,1
CONDIMENTS & SAUCES,Mango Chutney,9537,7.04,2.8kg,1,2.8,kg,1
CONDIMENTS & SAUCES,Maple Syrup,4689,10.5,640g,1,640.0,g,1
CONDIMENTS & SAUCES,Mint Sauce,4655,9.5,2.27ltr,1,2.27,ltr,1
CONDIMENTS & SAUCES,Red Current Jelly,4658,22.08,2.27kg,1,2.27,kg,1
CONDIMENTS & SAUCES,Tartare Sauce,4673,13.5,2.27ltr,1,2.27,ltr,1
CONDIMENTS & SAUCES,BBQ Sauce (Squeezy),4654,4.05,1ltr,1,1.0,ltr,1
CONDIMENTS & SAUCES,English Mustard,4443,11.5,2.27ltr,1,2.27,ltr,1
CONDIMENTS & SAUCES,Mayonnaise Sachets,4498,10.28,200x10g,200,10.0,g,1
CONDIMENTS & SAUCES,Caesar Dressing,9295,11.76,2.27ltr,1,2.27,ltr,1
CONDIMENTS & SAUCES,Dijon Mustard,4337,5.95,1 ltr,1,1.0,ltr,1
CONDIMENTS & SAUCES,Tiptree Strawberry Jam,523,26.4,72x28g,72,28.0,g,1
CONDIMENTS & SAUCES,Garnishing Glaze Beetroot,4367,7.05,250ml,1,250.0,ml,1
CONDIMENTS & SAUCES,Lemon Curd,5659,19.95,3.18kg,1,3.18,kg,1
CONDIMENTS & SAUCES,Worcestershire Sauce (Vegan),4445,6.95,1.2ltr,1,1.2,ltr,1
CONDIMENTS & SAUCES,Branston Original Pickle,4333,13.78,2.55kg,1,2.55,kg,1
CONDIMENTS & SAUCES,Brown Sauce,4442,6.21,4.5ltr,1,4.5,ltr,1
CONDIMENTS & SAUCES,Green Pesto Genovese (Contains Nuts),4576,14.96,1kg,1,1.0,kg,1
CONDIMENTS & SAUCES,Heinz Tomoato ketchup,4446,16.83,2.15 Litre,1,2.15,Litre,1
CONDIMENTS & SAUCES,Jam Portions - Strawberry,4332,13.1,100x20g,100,20.0,g,1
CONDIMENTS & SAUCES,Peanut Butter (Smooth),1763,3.7,227g,1,227.0,g,1
CONDIMENTS & SAUCES,Pomegranate Molasses,4447,5.36,300ml,1,300.0,ml,1
