LeftKey,LeftName,LeftVolumeML,RightKey,RightName,RightVolumeML,Score,Rank
018081,AMARETTO,,128,Amaretto,,1.0,1
018091,AMARETTO WHITE,,181,Amaretto White,,1.0,1
019341,ARCHERS PEACH SCH,,23,Archers Peach,,0.9,1
019340,ARCHERS SCHNAPPS,,183,Archers Schnapps,,1.0,1
060131,ASPALL 4.5% GAL,,137,Aspall,,1.0,1
014041,AUCHENTOSHAN,,177,Auchentoshan,,1.0,1
011071,BACARDI,,24,Bacardi,,1.0,1
090171,BACON FRIES DOZ,,288,Smith's Scampi Fries,,0.91,1
090171,BACON FRIES DOZ,,289,Smith's Bacon Fries,,0.91,2
018151,BAILEYS IRISH CRM,,25,Baileys Irish Cream,,1.0,1
040481,BASS ALE 10GAL GAL,,134,Bass,,1.0,1
030221,BEAUJOLAIS VILLAGE BOT,,121,Louis Jadot Beaujolais Villages 750ml Bottle,,0.91,1
013071,BELLS,,26,Bells Scotch Whisky,,1.0,1
075100,BELU WATER,,222,Belu Sparkling Water,,1.0,1
018171,BENEDICTINE,,27,Benedictine,,1.0,1
012081,BOMBAY SAPPHIRE,,28,Bombay Sapphire,,1.0,1
014091,BOWMORE 12YO,,30,Bowmore Malt Whisky 12Year,,1.0,1
025201,BRISTOL CREAM,,129,Harveys Bristol Cream ,,0.9,1
012101,BROCKMANS GIN,,31,Brockmans Gin,,1.0,1
012116,BROOKLYN GIN,,32,Brooklyn Gin,,1.0,1
030421,CAB SAUV BROOKFORD BOT,,114,Brookford Shiraz Cabernet ,,0.9,1
030421,CAB SAUV BROOKFORD BOT,,192,Brookford Cabernet Sauv,,0.9,2
011201,CAPT MORGAN DARK,,33,Captain Morgan Spiced Rum,,0.9,1
011201,CAPT MORGAN DARK,,161,Captain Morgan Dark Rum,,0.9,2
047281,CARLING GAL,,1,Carling Lager,,1.0,1
038651,CAVA LACRIMA BOT,,209,Cava Lacrima,,1.0,1
030511,CHARD BROOKFORD BOT,,110,Brookford Chardonnay 750ml Bottle,,0.9,1
030551,CHARD MACON VILLAGE BOT,,112,Rochebin Macon Chardonnay 750ml Bottle,,0.9,1
