LeftKey,LeftName,LeftVolumeML,RightKey,RightName,RightVolumeML,Score,Method
010161,COURVOISIER VS,,35.0,Courvoisier VS,,1.0,left_to_right
010891,THREE BARRELS,,263.0,Three Barrels,,1.0,left_to_right
011071,BACARDI,,24.0,Bacardi,,1.0,left_to_right
011201,CAPT MORGAN DARK,,,,,,left_to_right
011231,DEAD MAN PASSION,,,,,,left_to_right
011551,KRAKEN,,,,,,left_to_right
011556,KRAKEN CHERRY,,,,,,left_to_right
011559,KRAKEN COFFEE,,,,,,left_to_right
011580,MORGANS SPICED,,,,,,left_to_right
011581,MORGANS SPICED,,,,,,left_to_right
011601,NELSONS RUM,,,,,,left_to_right
011605,NELSONS FLV RUM,,,,,,left_to_right
012081,BOMBAY SAPPHIRE,,28.0,Bombay Sapphire,,1.0,left_to_right
012101,BROCKMANS GIN,,31.0,Brockmans Gin,,1.0,left_to_right
012116,BROOKLYN GIN,,32.0,Brooklyn Gin,,1.0,left_to_right
012306,FOUR PILLARS GIN,,277.0,Four Pillars Gin,,1.0,left_to_right
012341,GORDONS 0%,,,,,,left_to_right
012351,GORDONS,,,,,,left_to_right
012353,GORDONS CHERRY,,,,,,left_to_right
012355,GORDONS MED ORANGE,,,,,,left_to_right
012357,GORDONS LEMON,,,,,,left_to_right
012359,GORDONS PEACH,,,,,,left_to_right
012361,GORDONS PINK,,,,,,left_to_right
012621,NELSONS GIN,,264.0,Nelsons Gin,,1.0,left_to_right
012623,NELSONS FLV GIN,,,,,,left_to_right
012772,RED DOOR GIN FOC,,,,,,left_to_right
012807,RUGBY GIN FOC,,,,,,left_to_right
012931,W/NEIL APRICOT PINK,,,,,,left_to_right
012941,WHITNEY NEIL GIN,,,,,,left_to_right
012947,W/NEIL DIST CUT,,,,,,left_to_right
012949,W/NEIL BLK CHERRY,,,,,,left_to_right
012950,W/NEIL B/ORANGE,,,,,,left_to_right
012953,W/NEIL GOOSEBERRY,,,,,,left_to_right
012954,W/NEIL PINEAPPLE,,173.0,Whitley Neil Pineapple Gin,,1.0,left_to_right
012955,W/NEIL PINK GRAPE,,,,,,left_to_right
012957,W/NEIL RASPBERRY,,,,,,left_to_right
012959,W/NEIL RHUBARB,,,,,,left_to_right
013071,BELLS,,,,,,left_to_right
013271,FAMOUS GROUSE,,,,,,left_to_right
013950,WHYTE & MAKAY,,,,,,left_to_right
013951,WHYTE & MACKAY,,,,,,left_to_right
014041,AUCHENTOSHAN,,177.0,Auchentoshan,,1.0,left_to_right
014091,BOWMORE 12YO,,,,,,left_to_right
014371,GLEN SCOTIA,,178.0,Glen Scotia,,1.0,left_to_right
014415,GLENLIVET FOUNDERS,,,,,,left_to_right
014431,GLENMORANGIE 10YR,,,,,,left_to_right
014455,HAIG CLUBMAN,,,,,,left_to_right
014841,TALISKER,,,,,,left_to_right
015341,JACK DANIELS,,,,,,left_to_right
015361,JIM BEAM WHITE,,,,,,left_to_right
015501,SOUTHERN COMFORT,,58.0,Southern Comfort,,1.0,left_to_right
015720,JAMESON,,,,,,left_to_right
015721,JAMESON,,,,,,left_to_right
016801,SMIRNOFF RED,,,,,,left_to_right
017651,PIMMS NO1,,52.0,Pimms No 1,,1.0,left_to_right
018081,AMARETTO,,128.0,Amaretto,,1.0,left_to_right
018091,AMARETTO WHITE,,181.0,Amaretto White,,1.0,left_to_right
018151,BAILEYS IRISH CRM,,,,,,left_to_right
018171,BENEDICTINE,,27.0,Benedictine,,1.0,left_to_right
018501,DRAMBUIE,,37.0,Drambuie,,1.0,left_to_right
018841,JAGERMEISTER,,46.0,Jagermeister,,1.0,left_to_right
018861,KAHLUA,,182.0,Kahlua,,1.0,left_to_right
019050,MALIBU ORIGINAL,,,,,,left_to_right
019051,MALIBU ORIGINAL,,,,,,left_to_right
019340,ARCHERS SCHNAPPS,,183.0,Archers Schnapps,,1.0,left_to_right
019341,ARCHERS PEACH SCH,,,,,,left_to_right
019513,SAMBUCA ANTICA,,79.0,Sambuca Antica,,1.0,left_to_right
019611,SOURZ,,,,,,left_to_right
019697,TEQ DEAD MAN RASP,,,,,,left_to_right
019785,TEQ PATRON SILVER,,,,,,left_to_right
019793,TEQ ROSE,,,,,,left_to_right
019832,WRAY & NEPHEW RUM,,,,,,left_to_right
019834,GREY GOOSE VODKA,,283.0,Grey Goose Vodka,,1.0,left_to_right
019835,SMIRNOFF PEACH,,,,,,left_to_right
019836,CURACAO BLUE DKY,,,,,,left_to_right
019837,APEROL,,,,,,left_to_right
021221,CINZANO BIANCO,,34.0,Cinzano Bianco,,1.0,left_to_right
021500,MARTINI DRY,,,,,,left_to_right
021540,MARTINI RED,,,,,,left_to_right
022451,COCKBURNS SPECIAL,,189.0,Cockburns Special,,1.0,left_to_right
023761,NIEPOORT RUBY PORT,,,,,,left_to_right
024561,TAYLORS TAWNY PORT,,,,,,left_to_right
025201,BRISTOL CREAM,,,,,,left_to_right
029121,CRABBIES GINGER,,,,,,left_to_right
030221,BEAUJOLAIS VILLAGE BOT,,,,,,left_to_right
030421,CAB SAUV BROOKFORD BOT,,,,,,left_to_right
030511,CHARD BROOKFORD BOT,,,,,,left_to_right
030551,CHARD MACON VILLAGE BOT,,,,,,left_to_right
030571,CHARD OUDE KAAP BOT,,,,,,left_to_right
030651,CHENIN OUDE KAAP BOT,,,,,,left_to_right
034221,MALBEC DESPACITO BOT,,,,,,left_to_right
034321,MALBEC HERMANDAD BOT,,,,,,left_to_right
034421,MALBEC WHITE BOT,,,,,,left_to_right
034531,MERLOT CASA SANTI BOT,,,,,,left_to_right
034661,P/GRIGIO TREVIGIAN BOT,,,,,,left_to_right
034671,P/GRIGIO TREV ROSE BOT,,,,,,left_to_right
034811,P/NOIR ARTE NOBLE BOT,,,,,,left_to_right
034821,P/NOIR BOURG BOT,,,,,,left_to_right
035321,RIOJA CHOZA BOT,,,,,,left_to_right
036551,SAUV BLNC INVINIT BOT,,,,,,left_to_right
036571,SAUV BLNC OUDE KAAP BOT,,,,,,left_to_right
036591,SAUV BLNC SANTIAGO BOT,,,,,,left_to_right
036851,SHIRAZ BROOKFORD BOT,,,,,,left_to_right
037851,ZINF HILMASPRINGS BOT,,,,,,left_to_right
038651,CAVA LACRIMA BOT,,,,,,left_to_right
038871,PROSECCO TREVIGIAN BOT,,,,,,left_to_right
038873,PROSECCO TREVIGIAN,,,,,,left_to_right
038881,PROSECCO TREV ROSE BOT,,,,,,left_to_right
040481,BASS ALE 10GAL GAL,,,,,,left_to_right
042771,LEVEL HEAD 30L GAL,,,,,,left_to_right
046321,GUINNESS GAL,,,,,,left_to_right
047281,CARLING GAL,,,,,,left_to_right
047446,ESTRELLA 0% GAL,,,,,,left_to_right
048061,MADRI GAL,,,,,,left_to_right
048501,SAN MIGUEL GAL,,,,,,left_to_right
048502,TURTLE TRPICAL GAL,,,,,,left_to_right
048503,SPOT ON GAL,,,,,,left_to_right
048504,LUNA PEACH PALE GAL,,,,,,left_to_right
048505,BLONDE ALE GAL,,,,,,left_to_right
052336,GUINNESS O% CANS,,,,,,left_to_right
055061,PERONI N/AZZURO,,148.0,Peroni Nastro Azzuro 0.0% 330ml Bottle,,1.0,left_to_right
055071,PERONI 0%,,,,,,left_to_right
060131,ASPALL 4.5% GAL,,,,,,left_to_right
064851,KOPPABERG M/FRUIT,,10.0,Koppaberg Mixed Fruit 500ml Bottle,,1.0,left_to_right
064881,KOPPABERG ST/LIME,,149.0,Koppaberg Strawberry & Lime 500ml Bottle,,1.0,left_to_right
064891,KOPPABERG S/L 0%,,149.0,Koppaberg Strawberry & Lime 500ml Bottle,,1.0,left_to_right
065371,OLD MOUT KIWI,,,,,,left_to_right
071191,BRITVIC J2O,,,,,,left_to_right
071521,F/TREE AROMATIC,,219.0,Fever Tree Aromatic,,1.0,left_to_right
071551,F/TREE GINGER ALE,,220.0,Fever Tree Ginger Ale,,1.0,left_to_right
071581,F/TREE TONIC,,151.0,Fever Tree Tonic Light,,1.0,left_to_right
071595,F/TREE LIGHT TONIC,,,,,,left_to_right
071611,FRUIT SHOOTS,,,,,,left_to_right
075100,BELU WATER,,,,,,left_to_right
075701,SPRINGBOURNE WATER,,223.0,Springbourne Water,,1.0,left_to_right
076151,COLA 5.4-1 LTR,,,,,,left_to_right
076171,POSTMIX CORDIAL LTR,,,,,,left_to_right
076321,GINGER BEER 5-1 LTR,,,,,,left_to_right
076621,ORANGE JUICE 4-1 LTR,,,,,,left_to_right
076701,PEPSI MAX 5-1 LTR,,,,,,left_to_right
076901,LEMONADE 7.5-1 LTR,,,,,,left_to_right
077301,COCA COLA CN,,,,,,left_to_right
077521,FANTA CN,,,,,,left_to_right
077681,PEPSI MAX CN,,,,,,left_to_right
077992,COCA COLA ICON,,,,,,left_to_right
077993,RED BULL,,,,,,left_to_right
090171,BACON FRIES DOZ,,,,,,left_to_right
090601,CRISPS PIPERS 40G TEN,,,,,,left_to_right
094421,DRY ROAST KP 50G DOZ,,,,,,left_to_right
095751,SALTED NUTS KP 50G DOZ,,,,,,left_to_right
098271,CRUNCHIE DOZ,,,,,,left_to_right
098276,DAIRY MILK 45G DOZ,,,,,,left_to_right
098566,HARIBO SUPERMIX DOZ,,,,,,left_to_right
098571,HARIBO TANGFASTIC DOZ,,,,,,left_to_right
099351,SNICKERS DOZ,,,,,,left_to_right
099712,PORK SCRATCHINGS DOZ,,,,,,left_to_right
099713,SCAMPI FRIES DOZ,,,,,,left_to_right
