LeftKey,LeftName,LeftVolumeML,RightKey,RightName,RightVolumeML,Score,Method,Status
018081,AMARETTO,,128,Amaretto,,1.0,left_to_right,matched
018091,AMARETTO WHITE,,181,Amaretto White,,1.0,left_to_right,matched
019341,ARCHERS PEACH SCH,,23,Archers Peach,,0.9,left_to_right,matched
019340,ARCHERS SCHNAPPS,,183,Archers Schnapps,,1.0,left_to_right,matched
060131,ASPALL 4.5% GAL,,137,Aspall,,1.0,left_to_right,matched
014041,AUCHENTOSHAN,,177,Auchentoshan,,1.0,left_to_right,matched
011071,BACARDI,,24,Bacardi,,1.0,left_to_right,matched
090171,BACON FRIES DOZ,,288,Smith's Scampi Fries,,0.91,left_to_right,matched
018151,BAILEYS IRISH CRM,,25,Baileys Irish Cream,,1.0,left_to_right,matched
040481,BASS ALE 10GAL GAL,,134,Bass,,1.0,left_to_right,matched
030221,BEAUJOLAIS VILLAGE BOT,,121,Louis Jadot Beaujolais Villages 750ml Bottle,,0.91,left_to_right,matched
013071,BELLS,,26,Bells Scotch Whisky,,1.0,left_to_right,matched
075100,BELU WATER,,222,Belu Sparkling Water,,1.0,left_to_right,matched
018171,BENEDICTINE,,27,Benedictine,,1.0,left_to_right,matched
012081,BOMBAY SAPPHIRE,,28,Bombay Sapphire,,1.0,left_to_right,matched
014091,BOWMORE 12YO,,30,Bowmore Malt Whisky 12Year,,1.0,left_to_right,matched
025201,BRISTOL CREAM,,129,Harveys Bristol Cream ,,0.9,left_to_right,matched
012101,BROCKMANS GIN,,31,Brockmans Gin,,1.0,left_to_right,matched
012116,BROOKLYN GIN,,32,Brooklyn Gin,,1.0,left_to_right,matched
030421,CAB SAUV BROOKFORD BOT,,114,Brookford Shiraz Cabernet ,,0.9,left_to_right,matched
011201,CAPT MORGAN DARK,,33,Captain Morgan Spiced Rum,,0.9,left_to_right,matched
047281,CARLING GAL,,1,Carling Lager,,1.0,left_to_right,matched
038651,CAVA LACRIMA BOT,,209,Cava Lacrima,,1.0,left_to_right,matched
030511,CHARD BROOKFORD BOT,,110,Brookford Chardonnay 750ml Bottle,,0.9,left_to_right,matched
030551,CHARD MACON VILLAGE BOT,,112,Rochebin Macon Chardonnay 750ml Bottle,,0.9,left_to_right,matched
030571,CHARD OUDE KAAP BOT,,193,Oude Kaap Chardonnay 750ml Bottle,,0.9,left_to_right,matched
030651,CHENIN OUDE KAAP BOT,,193,Oude Kaap Chardonnay 750ml Bottle,,0.9,left_to_right,matched
021221,CINZANO BIANCO,,34,Cinzano Bianco,,1.0,left_to_right,matched
077301,COCA COLA CN,,15,Coca Cola Can,,1.0,left_to_right,matched
077992,COCA COLA ICON,,15,Coca Cola Can,,1.0,left_to_right,matched
022451,COCKBURNS SPECIAL,,189,Cockburns Special,,1.0,left_to_right,matched
010161,COURVOISIER VS,,35,Courvoisier VS,,1.0,left_to_right,matched
029121,CRABBIES GINGER,,8,Crabbies Ginger Beer,,1.0,left_to_right,matched
090601,CRISPS PIPERS 40G TEN,,157,Pipers Crisps - Cider & Vinegar,,0.9,left_to_right,matched
098271,CRUNCHIE DOZ,,248,Crunchie,,1.0,left_to_right,matched
019836,CURACAO BLUE DKY,,284,De Kuyper Blue Curacao,,1.0,left_to_right,matched
098276,DAIRY MILK 45G DOZ,,249,Dairy Milk 45g,,1.0,left_to_right,matched
018501,DRAMBUIE,,37,Drambuie,,1.0,left_to_right,matched
094421,DRY ROAST KP 50G DOZ,,246,KP Dry Roasted,,0.9,left_to_right,matched
047446,ESTRELLA 0% GAL,,141,Estrella Galicia 0%,,0.9,left_to_right,matched
071521,F/TREE AROMATIC,,219,Fever Tree Aromatic,,1.0,left_to_right,matched
071551,F/TREE GINGER ALE,,220,Fever Tree Ginger Ale,,1.0,left_to_right,matched
071595,F/TREE LIGHT TONIC,,151,Fever Tree Tonic Light,,1.0,left_to_right,matched
071581,F/TREE TONIC,,151,Fever Tree Tonic Light,,1.0,left_to_right,matched
013271,FAMOUS GROUSE,,38,The Famous Grouse Scotch Whisky,,0.9,left_to_right,matched
012306,FOUR PILLARS GIN,,277,Four Pillars Gin,,1.0,left_to_right,matched
071611,FRUIT SHOOTS,,17,Fruit Shoot Orange,,0.9,left_to_right,matched
076321,GINGER BEER 5-1 LTR,,268,Ginger Beer Post Mix,,1.0,left_to_right,matched
014371,GLEN SCOTIA,,178,Glen Scotia,,1.0,left_to_right,matched
014431,GLENMORANGIE 10YR,,39,Glenmorangie Malt Whisky 12YO,,1.0,left_to_right,matched
012351,GORDONS,,41,Gordons Special Dry,,1.0,left_to_right,matched
012341,GORDONS 0%,,159,Gordons Gin 0%,,1.0,left_to_right,matched
012353,GORDONS CHERRY,,164,Gordons Cherry Gin,,1.0,left_to_right,matched
012357,GORDONS LEMON,,166,Gordons Lemon Gin,,1.0,left_to_right,matched
012355,GORDONS MED ORANGE,,165,Gordons Med Orange Gin,,1.0,left_to_right,matched
012359,GORDONS PEACH,,167,Gordons White Peach Gin,,0.9,left_to_right,matched
012361,GORDONS PINK,,40,Gordons Pink Gin,,1.0,left_to_right,matched
019834,GREY GOOSE VODKA,,283,Grey Goose Vodka,,1.0,left_to_right,matched
046321,GUINNESS GAL,,4,Guinness,,1.0,left_to_right,matched
052336,GUINNESS O% CANS,,101,Guinness 0.0% 538ml Can,,0.9,left_to_right,matched
014455,HAIG CLUBMAN,,43,Haig Club,,0.9,left_to_right,matched
098566,HARIBO SUPERMIX DOZ,,251,Haribo Supamix,,1.0,left_to_right,matched
098571,HARIBO TANGFASTIC DOZ,,252,Haribo Tangfastic,,1.0,left_to_right,matched
015341,JACK DANIELS,,45,Jack Daniels Tennessee,,0.9,left_to_right,matched
018841,JAGERMEISTER,,46,Jagermeister,,1.0,left_to_right,matched
015361,JIM BEAM WHITE,,48,Jim Beam,,0.9,left_to_right,matched
018861,KAHLUA,,182,Kahlua,,1.0,left_to_right,matched
064851,KOPPABERG M/FRUIT,,10,Koppaberg Mixed Fruit 500ml Bottle,,1.0,left_to_right,matched
064891,KOPPABERG S/L 0%,,269,Koppaberg Strawberry & Lime 0.0% 500ml Bottle,,1.0,left_to_right,matched
