id,name,RightVolumeML,Code,Product,LeftVolumeML,Score,Rank
128,Amaretto,,018081,AMARETTO,,1.0,1
181,Amaretto White,,018091,AMARETTO WHITE,,1.0,1
23,Archers Peach,,019341,ARCHERS PEACH SCH,,0.9,1
183,Archers Schnapps,,019340,ARCHERS SCHNAPPS,,1.0,1
137,Aspall,,060131,ASPALL 4.5% GAL,,1.0,1
177,Auchentoshan,,014041,AUCHENTOSHAN,,1.0,1
24,Bacardi,,011071,BACARDI,,1.0,1
288,Smith's Scampi Fries,,090171,BACON FRIES DOZ,,0.91,1
289,Smith's Bacon Fries,,090171,BACON FRIES DOZ,,0.91,1
25,Baileys Irish Cream,,018151,BAILEYS IRISH CRM,,1.0,1
134,Bass,,040481,BASS ALE 10GAL GAL,,1.0,1
121,Louis Jadot Beaujolais Villages 750ml Bottle,,030221,BEAUJOLAIS VILLAGE BOT,,0.91,1
26,Bells Scotch Whisky,,013071,BELLS,,1.0,1
222,Belu Sparkling Water,,075100,BELU WATER,,1.0,1
27,Benedictine,,018171,BENEDICTINE,,1.0,1
28,Bombay Sapphire,,012081,BOMBAY SAPPHIRE,,1.0,1
30,Bowmore Malt Whisky 12Year,,014091,BOWMORE 12YO,,1.0,1
129,Harveys Bristol Cream ,,025201,BRISTOL CREAM,,0.9,1
31,Brockmans Gin,,012101,BROCKMANS GIN,,1.0,1
32,Brooklyn Gin,,012116,BROOKLYN GIN,,1.0,1
114,Brookford Shiraz Cabernet ,,030421,CAB SAUV BROOKFORD BOT,,0.9,1
192,Brookford Cabernet Sauv,,030421,CAB SAUV BROOKFORD BOT,,0.9,1
33,Captain Morgan Spiced Rum,,011201,CAPT MORGAN DARK,,0.9,1
161,Captain Morgan Dark Rum,,011201,CAPT MORGAN DARK,,0.9,1
1,Carling Lager,,047281,CARLING GAL,,1.0,1
209,Cava Lacrima,,038651,CAVA LACRIMA BOT,,1.0,1
110,Brookford Chardonnay 750ml Bottle,,030511,CHARD BROOKFORD BOT,,0.9,1
112,Rochebin Macon Chardonnay 750ml Bottle,,030551,CHARD MACON VILLAGE BOT,,0.9,1
193,Oude Kaap Chardonnay 750ml Bottle,,030571,CHARD OUDE KAAP BOT,,0.9,1
194,Oude Kaap Chenin Blanc 750ml Bottle,,030651,CHENIN OUDE KAAP BOT,,0.9,1
193,Oude Kaap Chardonnay 750ml Bottle,,030651,CHENIN OUDE KAAP BOT,,0.9,2
34,Cinzano Bianco,,021221,CINZANO BIANCO,,1.0,1
15,Coca Cola Can,,077301,COCA COLA CN,,1.0,1
15,Coca Cola Can,,077992,COCA COLA ICON,,1.0,2
189,Cockburns Special,,022451,COCKBURNS SPECIAL,,1.0,1
