id,name,RightVolumeML,Code,Product,LeftVolumeML,Score,Method
1,Carling Lager,,,,,,right_to_left
3,BlackHole Guest Ale ,,,,,,right_to_left
4,Guinness,,,,,,right_to_left
5,San Miguel,,,,,,right_to_left
8,Crabbies Ginger Beer,,,,,,right_to_left
10,Koppaberg Mixed Fruit 500ml Bottle,,064851,KOPPABERG M/FRUIT,,1.0,right_to_left
15,Coca Cola Can,,,,,,right_to_left
16,Elderflower presse,,,,,,right_to_left
17,Fruit Shoot Orange,,,,,,right_to_left
19,Natural Still Water,,,,,,right_to_left
20,Pepsi Max Can,,,,,,right_to_left
22,Sparkling Water,,,,,,right_to_left
23,Archers Peach,,,,,,right_to_left
24,Bacardi,,011071,BACARDI,,1.0,right_to_left
25,Baileys Irish Cream,,,,,,right_to_left
26,Bells Scotch Whisky,,,,,,right_to_left
27,Benedictine,,018171,BENEDICTINE,,1.0,right_to_left
28,Bombay Sapphire,,012081,BOMBAY SAPPHIRE,,1.0,right_to_left
30,Bowmore Malt Whisky 12Year,,,,,,right_to_left
31,Brockmans Gin,,012101,BROCKMANS GIN,,1.0,right_to_left
32,Brooklyn Gin,,012116,BROOKLYN GIN,,1.0,right_to_left
33,Captain Morgan Spiced Rum,,,,,,right_to_left
34,Cinzano Bianco,,021221,CINZANO BIANCO,,1.0,right_to_left
35,Courvoisier VS,,010161,COURVOISIER VS,,1.0,right_to_left
36,Disaronno Amaretto,,,,,,right_to_left
37,Drambuie,,018501,DRAMBUIE,,1.0,right_to_left
38,The Famous Grouse Scotch Whisky,,,,,,right_to_left
39,Glenmorangie Malt Whisky 12YO,,,,,,right_to_left
40,Gordons Pink Gin,,,,,,right_to_left
41,Gordons Special Dry,,,,,,right_to_left
42,Grand Marnier,,,,,,right_to_left
43,Haig Club,,,,,,right_to_left
44,Hendricks Gin,,,,,,right_to_left
45,Jack Daniels Tennessee,,,,,,right_to_left
46,Jagermeister,,018841,JAGERMEISTER,,1.0,right_to_left
47,Jamesons Irish Whiskey,,,,,,right_to_left
48,Jim Beam,,,,,,right_to_left
49,Malibu,,,,,,right_to_left
50,Martini Extra Dry,,,,,,right_to_left
51,Martini Rosso,,,,,,right_to_left
52,Pimms No 1,,017651,PIMMS NO1,,1.0,right_to_left
53,Remy Martin,,,,,,right_to_left
55,Rhubarb Gin,,,,,,right_to_left
56,Sherry,,,,,,right_to_left
57,Smirnoff Red Label Vodka,,,,,,right_to_left
58,Southern Comfort,,015501,SOUTHERN COMFORT,,1.0,right_to_left
59,Talisker Malt Whisky 10YO,,,,,,right_to_left
60,Tanqueray Gin,,,,,,right_to_left
61,Taylors Fine Ruby Port,,,,,,right_to_left
62,Tia Maria,,,,,,right_to_left
63,Whitley Neill Gin,,,,,,right_to_left
73,Roku Gin,,,,,,right_to_left
74,Eden Mill Gin,,,,,,right_to_left
75,Ophir Gin,,,,,,right_to_left
76,Tanquery Seville,,,,,,right_to_left
79,Sambuca Antica,,019513,SAMBUCA ANTICA,,1.0,right_to_left
80,Chambord,,,,,,right_to_left
83,KP Nuts Salted,,,,,,right_to_left
84,McCoys Crisps,,,,,,right_to_left
85,Pipers Crisps - Longhorn Beef,,,,,,right_to_left
86,Kit Kat 4 Finger,,,,,,right_to_left
87,Dairy Milk Duo,,,,,,right_to_left
88,Dairy Milk Bar,,,,,,right_to_left
95,Pepsi Max Post Mix,,,,,,right_to_left
96,Lilt Zero,,,,,,right_to_left
97,Fanta Orange Can,,,,,,right_to_left
101,Guinness 0.0% 538ml Can,,,,,,right_to_left
103,Big Hoop Crisps,,,,,,right_to_left
106,Hilmar Springs White Zinfandel 750ml Bottle,,,,,,right_to_left
107,Cantina Trevigiana Pinot Grigio Blush 750ml Bottle,,,,,,right_to_left
108,Cantina Trevigiana Pinot Grigio 750ml Bottle,,,,,,right_to_left
110,Brookford Chardonnay 750ml Bottle,,,,,,right_to_left
111,Inviniti Sauvignon Blanc,,,,,,right_to_left
112,Rochebin Macon Chardonnay 750ml Bottle,,,,,,right_to_left
113,Casa Merlot  LCL,,,,,,right_to_left
114,Brookford Shiraz Cabernet ,,,,,,right_to_left
115,Despacito Malbec 750ml Bottle,,,,,,right_to_left
117,Hermandad Malbec 750ml Bottle,,,,,,right_to_left
119,Champagne Tattinger,,,,,,right_to_left
120,Niepoort Port,,,,,,right_to_left
121,Louis Jadot Beaujolais Villages 750ml Bottle,,,,,,right_to_left
123,Whyte & Mackay Whisky,,,,,,right_to_left
125,Donman Dry Roasted Nuts,,,,,,right_to_left
128,Amaretto,,018081,AMARETTO,,1.0,right_to_left
129,Harveys Bristol Cream ,,,,,,right_to_left
130,Radnor Hills,,,,,,right_to_left
134,Bass,,,,,,right_to_left
135,Lemonade Post Mix,,,,,,right_to_left
136,Madri,,,,,,right_to_left
137,Aspall,,,,,,right_to_left
138,Level Head,,,,,,right_to_left
140,TT Landlord,,,,,,right_to_left
141,Estrella Galicia 0%,,,,,,right_to_left
143,Cola Post mix,,,,,,right_to_left
144,Orange Juice Post Mix,,,,,,right_to_left
145,Lime Cordial,,,,,,right_to_left
146,Orange Cordial ,,,,,,right_to_left
147,Blackcurrant Cordial,,,,,,right_to_left
148,Peroni Nastro Azzuro 0.0% 330ml Bottle,,055061,PERONI N/AZZURO,,1.0,right_to_left
149,Koppaberg Strawberry & Lime 500ml Bottle,,064881,KOPPABERG ST/LIME,,1.0,right_to_left
150,Old Mout Kiwi & Lime 500ml Bottle,,,,,,right_to_left
151,Fever Tree Tonic Light,,071581,F/TREE TONIC,,1.0,right_to_left
152,Fever Tree Tonic Water,,071581,F/TREE TONIC,,1.0,right_to_left
155,Pipers Crisps - Cheddar & Onion,,,,,,right_to_left
156,Pipers Crisps - Sea Salt,,,,,,right_to_left
157,Pipers Crisps - Cider & Vinegar,,,,,,right_to_left
158,Pipers Crisps - Sweet Chilli,,,,,,right_to_left
159,Gordons Gin 0%,,,,,,right_to_left
160,Kraken Spiced Rum,,,,,,right_to_left
161,Captain Morgan Dark Rum,,,,,,right_to_left
162,Kraken Cherry Rum,,,,,,right_to_left
163,Kraken Roast Coffee Rum,,,,,,right_to_left
164,Gordons Cherry Gin,,,,,,right_to_left
165,Gordons Med Orange Gin,,,,,,right_to_left
166,Gordons Lemon Gin,,,,,,right_to_left
167,Gordons White Peach Gin,,,,,,right_to_left
168,Whitley Neill Pink Apricot Gin,,,,,,right_to_left
169,Whitley Neill DC Gin,,,,,,right_to_left
170,Whitley Neill Black Cherry Gin,,,,,,right_to_left
171,Whitley Neill Blood Orange Gin,,,,,,right_to_left
172,Whitley Neill Gooseberry Gin,,,,,,right_to_left
173,Whitley Neil Pineapple Gin,,012954,W/NEIL PINEAPPLE,,1.0,right_to_left
174,Whitley Neill Pink Grape Gin,,,,,,right_to_left
175,Whitley Neill Raspberry Gin,,,,,,right_to_left
176,Whitley Neill Rhubarb Gin,,,,,,right_to_left
177,Auchentoshan,,014041,AUCHENTOSHAN,,1.0,right_to_left
178,Glen Scotia,,014371,GLEN SCOTIA,,1.0,right_to_left
179,Glenlivet Malt Whisky 12YO,,,,,,right_to_left
180,JJ Whitley Vodka,,,,,,right_to_left
181,Amaretto White,,018091,AMARETTO WHITE,,1.0,right_to_left
182,Kahlua,,018861,KAHLUA,,1.0,right_to_left
