id,name,RightVolumeML,Code,Product,LeftVolumeML,Score,Method,Status
128,Amaretto,,018081,AMARETTO,,1.0,right_to_left,matched
181,Amaretto White,,018091,AMARETTO WHITE,,1.0,right_to_left,matched
23,Archers Peach,,019341,ARCHERS PEACH SCH,,0.9,right_to_left,matched
183,Archers Schnapps,,019340,ARCHERS SCHNAPPS,,1.0,right_to_left,matched
137,Aspall,,060131,ASPALL 4.5% GAL,,1.0,right_to_left,matched
177,Auchentoshan,,014041,AUCHENTOSHAN,,1.0,right_to_left,matched
24,Bacardi,,011071,BACARDI,,1.0,right_to_left,matched
289,Smith's Bacon Fries,,090171,BACON FRIES DOZ,,0.91,right_to_left,matched
288,Smith's Scampi Fries,,090171,BACON FRIES DOZ,,0.91,right_to_left,matched
25,Baileys Irish Cream,,018151,BAILEYS IRISH CRM,,1.0,right_to_left,matched
134,Bass,,040481,BASS ALE 10GAL GAL,,1.0,right_to_left,matched
121,Louis Jadot Beaujolais Villages 750ml Bottle,,030221,BEAUJOLAIS VILLAGE BOT,,0.91,right_to_left,matched
26,Bells Scotch Whisky,,013071,BELLS,,1.0,right_to_left,matched
222,Belu Sparkling Water,,075100,BELU WATER,,1.0,right_to_left,matched
27,Benedictine,,018171,BENEDICTINE,,1.0,right_to_left,matched
28,Bombay Sapphire,,012081,BOMBAY SAPPHIRE,,1.0,right_to_left,matched
30,Bowmore Malt Whisky 12Year,,014091,BOWMORE 12YO,,1.0,right_to_left,matched
129,Harveys Bristol Cream ,,025201,BRISTOL CREAM,,0.9,right_to_left,matched
31,Brockmans Gin,,012101,BROCKMANS GIN,,1.0,right_to_left,matched
32,Brooklyn Gin,,012116,BROOKLYN GIN,,1.0,right_to_left,matched
114,Brookford Shiraz Cabernet ,,030421,CAB SAUV BROOKFORD BOT,,0.9,right_to_left,matched
192,Brookford Cabernet Sauv,,030421,CAB SAUV BROOKFORD BOT,,0.9,right_to_left,matched
161,Captain Morgan Dark Rum,,011201,CAPT MORGAN DARK,,0.9,right_to_left,matched
33,Captain Morgan Spiced Rum,,011201,CAPT MORGAN DARK,,0.9,right_to_left,matched
1,Carling Lager,,047281,CARLING GAL,,1.0,right_to_left,matched
209,Cava Lacrima,,038651,CAVA LACRIMA BOT,,1.0,right_to_left,matched
110,Brookford Chardonnay 750ml Bottle,,030511,CHARD BROOKFORD BOT,,0.9,right_to_left,matched
112,Rochebin Macon Chardonnay 750ml Bottle,,030551,CHARD MACON VILLAGE BOT,,0.9,right_to_left,matched
193,Oude Kaap Chardonnay 750ml Bottle,,030571,CHARD OUDE KAAP BOT,,0.9,right_to_left,matched
194,Oude Kaap Chenin Blanc 750ml Bottle,,030651,CHENIN OUDE KAAP BOT,,0.9,right_to_left,matched
34,Cinzano Bianco,,021221,CINZANO BIANCO,,1.0,right_to_left,matched
15,Coca Cola Can,,077301,COCA COLA CN,,1.0,right_to_left,matched
189,Cockburns Special,,022451,COCKBURNS SPECIAL,,1.0,right_to_left,matched
35,Courvoisier VS,,010161,COURVOISIER VS,,1.0,right_to_left,matched
8,Crabbies Ginger Beer,,029121,CRABBIES GINGER,,1.0,right_to_left,matched
157,Pipers Crisps - Cider & Vinegar,,090601,CRISPS PIPERS 40G TEN,,0.9,right_to_left,matched
248,Crunchie,,098271,CRUNCHIE DOZ,,1.0,right_to_left,matched
284,De Kuyper Blue Curacao,,019836,CURACAO BLUE DKY,,1.0,right_to_left,matched
249,Dairy Milk 45g,,098276,DAIRY MILK 45G DOZ,,1.0,right_to_left,matched
87,Dairy Milk Duo,,098276,DAIRY MILK 45G DOZ,,0.9,right_to_left,matched
88,Dairy Milk Bar,,098276,DAIRY MILK 45G DOZ,,0.9,right_to_left,matched
37,Drambuie,,018501,DRAMBUIE,,1.0,right_to_left,matched
246,KP Dry Roasted,,094421,DRY ROAST KP 50G DOZ,,0.9,right_to_left,matched
141,Estrella Galicia 0%,,047446,ESTRELLA 0% GAL,,0.9,right_to_left,matched
219,Fever Tree Aromatic,,071521,F/TREE AROMATIC,,1.0,right_to_left,matched
220,Fever Tree Ginger Ale,,071551,F/TREE GINGER ALE,,1.0,right_to_left,matched
151,Fever Tree Tonic Light,,071581,F/TREE TONIC,,1.0,right_to_left,matched
152,Fever Tree Tonic Water,,071581,F/TREE TONIC,,1.0,right_to_left,matched
38,The Famous Grouse Scotch Whisky,,013271,FAMOUS GROUSE,,0.9,right_to_left,matched
277,Four Pillars Gin,,012306,FOUR PILLARS GIN,,1.0,right_to_left,matched
17,Fruit Shoot Orange,,071611,FRUIT SHOOTS,,0.9,right_to_left,matched
268,Ginger Beer Post Mix,,076321,GINGER BEER 5-1 LTR,,1.0,right_to_left,matched
178,Glen Scotia,,014371,GLEN SCOTIA,,1.0,right_to_left,matched
39,Glenmorangie Malt Whisky 12YO,,014431,GLENMORANGIE 10YR,,1.0,right_to_left,matched
41,Gordons Special Dry,,012351,GORDONS,,1.0,right_to_left,matched
159,Gordons Gin 0%,,012341,GORDONS 0%,,1.0,right_to_left,matched
164,Gordons Cherry Gin,,012353,GORDONS CHERRY,,1.0,right_to_left,matched
166,Gordons Lemon Gin,,012357,GORDONS LEMON,,1.0,right_to_left,matched
165,Gordons Med Orange Gin,,012355,GORDONS MED ORANGE,,1.0,right_to_left,matched
167,Gordons White Peach Gin,,012359,GORDONS PEACH,,0.9,right_to_left,matched
40,Gordons Pink Gin,,012361,GORDONS PINK,,1.0,right_to_left,matched
283,Grey Goose Vodka,,019834,GREY GOOSE VODKA,,1.0,right_to_left,matched
4,Guinness,,046321,GUINNESS GAL,,1.0,right_to_left,matched
294,Guinness 0.0% 440ml Can,,052336,GUINNESS O% CANS,,0.9,right_to_left,matched
101,Guinness 0.0% 538ml Can,,052336,GUINNESS O% CANS,,0.9,right_to_left,matched
43,Haig Club,,014455,HAIG CLUBMAN,,0.9,right_to_left,matched
251,Haribo Supamix,,098566,HARIBO SUPERMIX DOZ,,1.0,right_to_left,matched
252,Haribo Tangfastic,,098571,HARIBO TANGFASTIC DOZ,,1.0,right_to_left,matched
45,Jack Daniels Tennessee,,015341,JACK DANIELS,,0.9,right_to_left,matched
46,Jagermeister,,018841,JAGERMEISTER,,1.0,right_to_left,matched
48,Jim Beam,,015361,JIM BEAM WHITE,,0.9,right_to_left,matched
182,Kahlua,,018861,KAHLUA,,1.0,right_to_left,matched
10,Koppaberg Mixed Fruit 500ml Bottle,,064851,KOPPABERG M/FRUIT,,1.0,right_to_left,matched
270,Koppaberg Mixed Fruit 0.0% 500ml Bottle,,064851,KOPPABERG M/FRUIT,,1.0,right_to_left,matched
149,Koppaberg Strawberry & Lime 500ml Bottle,,064881,KOPPABERG ST/LIME,,1.0,right_to_left,matched
269,Koppaberg Strawberry & Lime 0.0% 500ml Bottle,,064881,KOPPABERG ST/LIME,,1.0,right_to_left,matched
160,Kraken Spiced Rum,,011551,KRAKEN,,1.0,right_to_left,matched
162,Kraken Cherry Rum,,011556,KRAKEN CHERRY,,1.0,right_to_left,matched
163,Kraken Roast Coffee Rum,,011559,KRAKEN COFFEE,,0.9,right_to_left,matched
138,Level Head,,042771,LEVEL HEAD 30L GAL,,1.0,right_to_left,matched
136,Madri,,048061,MADRI GAL,,1.0,right_to_left,matched
115,Despacito Malbec 750ml Bottle,,034221,MALBEC DESPACITO BOT,,1.0,right_to_left,matched
117,Hermandad Malbec 750ml Bottle,,034321,MALBEC HERMANDAD BOT,,1.0,right_to_left,matched
51,Martini Rosso,,021540,MARTINI RED,,1.0,right_to_left,matched
113,Casa Merlot  LCL,,034531,MERLOT CASA SANTI BOT,,0.9,right_to_left,matched
197,Casa Santiago Merlot 750ml Bottle,,034531,MERLOT CASA SANTI BOT,,0.9,right_to_left,matched
264,Nelsons Gin,,011601,NELSONS RUM,,1.0,right_to_left,matched
120,Niepoort Port,,023761,NIEPOORT RUBY PORT,,0.9,right_to_left,matched
150,Old Mout Kiwi & Lime 500ml Bottle,,065371,OLD MOUT KIWI,,0.9,right_to_left,matched
144,Orange Juice Post Mix,,076621,ORANGE JUICE 4-1 LTR,,1.0,right_to_left,matched
201,Pino Grigio Blush Trevigiana,,034661,P/GRIGIO TREVIGIAN BOT,,0.9,right_to_left,matched
200,Pino Grigio Trevigiana  DOC,,034661,P/GRIGIO TREVIGIAN BOT,,0.9,right_to_left,matched
108,Cantina Trevigiana Pinot Grigio 750ml Bottle,,034661,P/GRIGIO TREVIGIAN BOT,,0.9,right_to_left,matched
107,Cantina Trevigiana Pinot Grigio Blush 750ml Bottle,,034661,P/GRIGIO TREVIGIAN BOT,,0.9,right_to_left,matched
202,Arte Noble Reserve Pino Noir 75cl Bottle,,034811,P/NOIR ARTE NOBLE BOT,,0.9,right_to_left,matched
203,Pino Noir Bourgogne,,034821,P/NOIR BOURG BOT,,0.9,right_to_left,matched
204,Rochebin Pinot Noir 750ml Bottle,,034821,P/NOIR BOURG BOT,,0.9,right_to_left,matched
95,Pepsi Max Post Mix,,076701,PEPSI MAX 5-1 LTR,,1.0,right_to_left,matched
303,Pepsi Max 500ml Bottle,,076701,PEPSI MAX 5-1 LTR,,1.0,right_to_left,matched
20,Pepsi Max Can,,076701,PEPSI MAX 5-1 LTR,,1.0,right_to_left,matched
148,Peroni Nastro Azzuro 0.0% 330ml Bottle,,055061,PERONI N/AZZURO,,1.0,right_to_left,matched
215,Peroni Nastro Azzuro 330ml Bottle,,055061,PERONI N/AZZURO,,1.0,right_to_left,matched
52,Pimms No 1,,017651,PIMMS NO1,,1.0,right_to_left,matched
290,Midlands Pork Scratchings,,099712,PORK SCRATCHINGS DOZ,,0.9,right_to_left,matched
211,75cl Trevigiana Prosecco Rose,,038871,PROSECCO TREVIGIAN BOT,,1.0,right_to_left,matched
304,Redbull 250ml Can,,077993,RED BULL,,1.0,right_to_left,matched
281,Red Door Gin,,012772,RED DOOR GIN FOC,,1.0,right_to_left,matched
205,Choza Rioja Crianza 750ml Bottle,,035321,RIOJA CHOZA BOT,,0.9,right_to_left,matched
282,Rugby Gin,,012807,RUGBY GIN FOC,,1.0,right_to_left,matched
83,KP Nuts Salted,,095751,SALTED NUTS KP 50G DOZ,,1.0,right_to_left,matched
79,Sambuca Antica,,019513,SAMBUCA ANTICA,,1.0,right_to_left,matched
5,San Miguel,,048501,SAN MIGUEL GAL,,1.0,right_to_left,matched
111,Inviniti Sauvignon Blanc,,036551,SAUV BLNC INVINIT BOT,,0.9,right_to_left,matched
206,Aotearoa Sauvignon Blanc 750ml Bottle,,036551,SAUV BLNC INVINIT BOT,,0.9,right_to_left,matched
207,Oude Kaap Sauvignon Blanc 750ml Bottle,,036571,SAUV BLNC OUDE KAAP BOT,,1.0,right_to_left,matched
208,Casa Santiago Sauvignon Blanc 750ml Bottle,,036591,SAUV BLNC SANTIAGO BOT,,0.9,right_to_left,matched
307,Smirnoff Miami Peach Vodka 70cl,,019835,SMIRNOFF PEACH,,0.9,right_to_left,matched
57,Smirnoff Red Label Vodka,,016801,SMIRNOFF RED,,0.9,right_to_left,matched
259,Snickers,,099351,SNICKERS DOZ,,1.0,right_to_left,matched
58,Southern Comfort,,015501,SOUTHERN COMFORT,,1.0,right_to_left,matched
