LeftKey,LeftName,LeftSize
019837,APEROL,70
048505,BLONDE ALE GAL,3.0
071191,BRITVIC J2O,275
076151,COLA 5.4-1 LTR,16.0
011231,DEAD MAN PASSION,70
077521,FANTA CN,330
014415,GLENLIVET FOUNDERS,70
015721,JAMESON,70
015720,JAMESON,150
076901,LEMONADE 7.5-1 LTR,34.0
048504,LUNA PEACH PALE GAL,4.4
034421,MALBEC WHITE BOT,4.5
019050,MALIBU ORIGINAL,150
019051,MALIBU ORIGINAL,70
021500,MARTINI DRY,150
011580,MORGANS SPICED,150
011581,MORGANS SPICED,70
012623,NELSONS FLV GIN,70
011605,NELSONS FLV RUM,70
055071,PERONI 0%,330
076171,POSTMIX CORDIAL LTR,55.0
019611,SOURZ,70
048503,SPOT ON GAL,4.4
024561,TAYLORS TAWNY PORT,75
048502,TURTLE TRPICAL GAL,4.4
012947,W/NEIL DIST CUT,70
013950,WHYTE & MAKAY,150
