RightKey,RightName,IsActive
247,Aero Mint Chocolate,True
103,Big Hoop Crisps,True
3,BlackHole Guest Ale ,True
147,Blackcurrant Cordial,True
218,Britvic J2O  Apple & Mango,True
217,Britvic J2O Apple & Raspberry,True
216,Britvic J2O Orange & Passion Fruit,True
300,Cantina Trevigiana Prosecco 200ml Bottle,True
297,Cantina Trevigiana Prosecco 750ml Bottle,True
214,Cantina Trevigiana Rose Prosecco 75cl Bottle,True
80,Chambord,True
119,Champagne Tattinger,True
225,Coke Zero,True
143,Cola Post mix,True
285,Dairy Milk - Little Bars,True
188,Dead Mans Fingers Passion Fruit Rum Bottle,True
299,Di Maria Rose Prosecco 200ml Bottle,True
224,Diet Cola,True
36,Disaronno Amaretto,True
267,Disaronno Velvet,True
125,Donman Dry Roasted Nuts,True
74,Eden Mill Gin,True
16,Elderflower presse,True
273,Fanta Fruit Twist,True
272,Fanta Lemon Bottle,True
228,Fanta Orange Bottle,True
97,Fanta Orange Can,True
221,Fruit Shoot  Apple & Blackcurrant,True
276,Galaxy Caramel,True
253,Galaxy Chocolate Bar,True
287,Giant Fruit & Oat Cookie,True
286,Giant Triple Choc Cookie,True
179,Glenlivet Malt Whisky 12YO,True
190,Grahams LBC,True
42,Grand Marnier,True
250,Haribo Starmix,True
44,Hendricks Gin,True
180,JJ Whitley Vodka,True
47,Jamesons Irish Whiskey,True
254,Kit Kat 2 Finger,True
86,Kit Kat 4 Finger,True
196,Land of Malbec White Malbec 750ml,True
308,Large Pork Sausage,True
135,Lemonade Post Mix,True
96,Lilt Zero,True
145,Lime Cordial,True
229,Lucozade Energy Orange,True
230,Lucozade Energy Original,True
291,Lucozade Sport - L& L,True
293,Lucozade Sport - Lemon & Lime,True
231,Lucozade Sport Orange,True
232,Lucozade Sport Raspberry,True
49,Malibu,True
255,Maltesers,True
258,Maoam Pinballs,True
256,Mars Bar,True
50,Martini Extra Dry,True
84,McCoys Crisps,True
198,Merlot IL Molo,True
257,Minstrels,True
306,Mulled Wine 1500ml Bottle,True
19,Natural Still Water,True
266,Nelsons Rhubarb & Custard Gin,True
279,Nelsons Rum - Chocolate,True
280,Nelsons Rum - Pineapple,True
278,Nelsons Rum - Signature,True
265,Nelsons Temir Gin,True
233,Oasis Citrus Fruits,True
302,Oasis Exotic Fruits Zero 500ml,True
236,Oasis Mango,True
234,Oasis Summer Fruits,True
235,Oasis Tropical,True
237,Oasis Zero Citrus Fruits,True
240,Oasis Zero Mango,True
238,Oasis Zero Summer Fruits,True
239,Oasis Zero Tropical,True
271,Old Mout Berries & Cherries 500ml Bottle,True
75,Ophir Gin,True
146,Orange Cordial ,True
226,Orange Tango,True
155,Pipers Crisps - Cheddar & Onion,True
85,Pipers Crisps - Longhorn Beef,True
156,Pipers Crisps - Sea Salt,True
158,Pipers Crisps - Sweet Chilli,True
130,Radnor Hills,True
53,Remy Martin,True
55,Rhubarb Gin,True
241,Ribena,True
275,Ribena Light Mango,True
274,Ribena Light Strawberry,True
242,Ribena Strawberry,True
73,Roku Gin,True
56,Sherry,True
184,Sourz Apple,True
185,Sourz Cherry,True
22,Sparkling Water,True
140,TT Landlord,True
227,Tango Orange Bottle,True
60,Tanqueray Gin,True
76,Tanquery Seville,True
61,Taylors Fine Ruby Port,True
62,Tia Maria,True
191,Triple Crown Port,True
260,Twirl,True
261,Twix,True
295,Vilarnau 0.0% Sparkling White Wine 750ml Bottle,True
243,Vimto Bottle,True
244,Vimto Zero,True
