Code, Name, Size, Holding, Cost_Price, Value, Division
010001,BACON 2.27KG,PKT,8.0,11.05,88.40,MEAT & POULTRY
010003,BEEF SILVERSIDE,KGS,8.0,14.75,118.00,MEAT & POULTRY
010004,BEEF SLICED 500G,EAC,2.0,11.75,23.50,MEAT & POULTRY
010020,BLACK PUDDING STICK,KGS,1.0,3.88,3.88,MEAT & POULTRY
010006,CHICKEN FILLET 6OZ,EAC,40.0,1.45,58.00,MEAT & POULTRY
010007,CHICKEN NUGGETS,1KG,11.5,8.00,92.00,MEAT & POULTRY
010011,HAM COOKED 500G,PKT,6.0,5.80,34.80,MEAT & POULTRY
010018,PIGS IN BLANKETS,BAG,5.0,11.88,59.40,MEAT & POULTRY
010019,PORK LOIN,KGS,8.0,6.75,54.00,MEAT & POULTRY
010014,SAUSAGE COCKTAIL,2.2,1.5,19.77,29.66,MEAT & POULTRY
010016,SAUSAGE FRESH 2.5,TRY,5.0,9.78,48.90,MEAT & POULTRY
010017,SAUSAGE PORK 8`S,BOX,1.0,20.75,20.75,MEAT & POULTRY
020001,COD FILLETS,EAC,6.0,3.60,21.60,FISH
020008,FISH CAKES COD & PRAWN,BOX,0.5,38.25,19.13,FISH
020002,FISH FINGER JUMBO,X36,1.5,43.29,64.94,FISH
020004,PRAWNS 1.5KG,BAG,0.5,25.20,12.60,FISH
020006,SCAMPI YOUNGS 450G,BAG,7.5,7.65,57.38,FISH
030001,BUTTER BLOCK,EAC,46.0,2.25,103.50,DAIRY
030002,BUTTER PTNS X100,BOX,1.5,6.36,9.54,DAIRY
030003,CH PARMESAN,KGS,0.5,15.32,7.66,DAIRY
030023,CH SLICES,PKT,2.5,9.79,24.48,DAIRY
030004,CH STILTON,KGS,1.0,16.95,16.95,DAIRY
030024,CH VEGAN,PKT,2.0,3.95,7.90,DAIRY
030005,CHEESE BRIE,KGS,2.5,8.99,22.48,DAIRY
030006,CHEESE CHED MATURE,KGS,4.9,13.85,67.87,DAIRY
030007,CHEESE GOAT LOG,EAC,1.5,13.18,19.77,DAIRY
030008,CHEESE GRATED 1KG,BAG,5.0,12.75,63.75,DAIRY
030009,CHEESE PHILADELPA,1.6,1.0,12.99,12.99,DAIRY
030010,CREAM CLOTTED,EAC,2.0,0.36,0.72,DAIRY
030011,CREAM M/LAND 1LTR,LTR,10.0,3.33,33.30,DAIRY
030013,CUSTARD,EAC,15.0,1.67,25.05,DAIRY
030014,EGGS,EAC,240.0,0.24,57.60,DAIRY
030015,FLORA BUTTERY,2KG,5.0,16.19,80.95,DAIRY
030018,MILK 2LTR,TUB,10.0,1.45,14.50,DAIRY
030021,MILK SOYA,LTR,2.0,2.48,4.96,DAIRY
040003,BREAD BAKER W/MEAL,EAC,6.0,2.37,14.22,BAKERY
