Code,Name,Size,Yield,UnitCost,MesSellPrice,UnitSelPrice,OpenStockUnit,OpenStockPrice,StockHoldingUnits,StockHoldingPrice
010161,COURVOISIER VS,70,28.0,29.17,0.00,0.00,2.0,58.34,0.8,23.34			
010891,THREE BARRELS,70,28.0,20.53,0.00,0.00,0.9,18.48,2.0,40.03			
011071,BACARDI,70,28.0,14.97,0.00,0.00,2.7,40.42,3.3,49.40			
011201,CAPT MORGAN DARK,70,28.0,19.07,0.00,0.00,2.7,51.49,1.7,32.42			
011231,DEAD MAN PASSION,70,28.0,0.00,0.00,0.00,0.7,0.00,0.5,0.00			
011551,KRAKEN,70,28.0,27.92,0.00,0.00,3.6,100.51,3.5,97.72			
011556,KRAKEN CHERRY,70,28.0,27.95,0.00,0.00,1.6,44.72,1.0,27.95			
011559,KRAKEN COFFEE,70,28.0,21.21,0.00,0.00,0.9,19.09,0.2,4.24			
011580,MORGANS SPICED,150,60.0,55.18,0.00,0.00,1.4,77.25,0.1,5.52			
011581,MORGANS SPICED,70,28.0,24.82,0.00,0.00,0.6,14.89,1.0,24.82			
011601,NELSONS RUM,70,28.0,24.57,0.00,0.00,0.9,22.11,0.9,22.11			
012081,BOMBAY SAPPHIRE,70,28.0,20.41,0.00,0.00,1.7,34.70,0.4,8.169			
012101,BROCKMANS GIN,70,28.0,31.62,0.00,0.00,2.9,91.70,2.6,82.21			
012116,BROOKLYN GIN,70,28.0,25.40,0.00,0.00,0.2,5.08,0.1,2.54			
012306,FOUR PILLARS GIN,70,28.0,17.24,0.00,0.00,0.4,6.90,0.4,6.90			
012341,GORDONS 0%,70,28.0,11.28,0.00,0.00,1.4,15.79,1.2,13.54			
012351,GORDONS,70,28.0,14.60,0.00,0.00,1.2,17.52,1.8,26.28			
012353,GORDONS CHERRY,70,28.0,17.24,0.00,0.00,2.0,34.48,0.6,10.34			
012355,GORDONS MED ORANGE,70,28.0,13.80,0.00,0.00,2.9,40.02,2.6,35.88			
012357,GORDONS LEMON,70,28.0,27.89,0.00,0.00,1.2,33.47,0.8,22.31			
012359,GORDONS PEACH,70,28.0,17.24,0.00,0.00,1.6,27.58,1.4,24.14			
012360,GORDONS PINK,150,60.0,15.83,0.00,0.00,0.4,6.33,0.0,0.00			
012361,GORDONS PINK,70,28.0,18.10,0.00,0.00,1.8,32.58,2.1,38.01			
012421,HENDRICKS,70,28.0,28.10,0.00,0.00,0.2,5.62,0.0,0.00			
