Code,Name,Size,Yield,UnitCost,MesSellPrice,UnitSelPrice,OpenStockUnit,OpenStockPrice,StockHoldingUnits,StockHoldingPrice,Stock_Id,Suggested_Name,manual_size
010161,COURVOISIER VS,70,28.0,29.17,0.00,0.00,2.0,58.34,0.8,23.34			,35,Courvoisier Vs 700ml [010161],700ml
010891,THREE BARRELS,70,28.0,20.53,0.00,0.00,0.9,18.48,2.0,40.03			,263,Three Barrels 700ml [010891],700ml
011071,BACARDI,70,28.0,14.97,0.00,0.00,2.7,40.42,3.3,49.40			,24,Bacardi 700ml [011071],700ml
011201,CAPT MORGAN DARK,70,28.0,19.07,0.00,0.00,2.7,51.49,1.7,32.42			,161,Captain Morgan Dark 700ml [011201],700ml
011231,DEAD MAN PASSION,70,28.0,0.00,0.00,0.00,0.7,0.00,0.5,0.00			,188,Dead Man Passion Fruit Rum 700ml [011231],700ml
011551,KRAKEN,70,28.0,27.92,0.00,0.00,3.6,100.51,3.5,97.72			,160,Kraken Spiced Rum 700ml [011551],700ml
011556,KRAKEN CHERRY,70,28.0,27.95,0.00,0.00,1.6,44.72,1.0,27.95			,162,Kraken Cherry Rum 700ml [011556],700ml
011559,KRAKEN COFFEE,70,28.0,21.21,0.00,0.00,0.9,19.09,0.2,4.24			,163,Kraken Coffee Rum 700ml [011559],700ml
011581,MORGANS SPICED,70,28.0,24.82,0.00,0.00,0.6,14.89,1.0,24.82			,33,Morgans Spiced Rum 700ml [011581],700ml
012081,BOMBAY SAPPHIRE,70,28.0,20.41,0.00,0.00,1.7,34.70,0.4,8.169			,28,Bombay Sapphire Gin 700ml [012081],700ml
012101,BROCKMANS GIN,70,28.0,31.62,0.00,0.00,2.9,91.70,2.6,82.21			,31,Brockmans Gin 700ml [012101],700ml
012116,BROOKLYN GIN,70,28.0,25.40,0.00,0.00,0.2,5.08,0.1,2.54			,32,Brooklyn Gin 700ml [012116],700ml
012306,FOUR PILLARS GIN,70,28.0,17.24,0.00,0.00,0.4,6.90,0.4,6.90			,277,Four Pillars Gin 700ml [012306],700ml
012341,GORDONS 0%,70,28.0,11.28,0.00,0.00,1.4,15.79,1.2,13.54			,159,Gordons 0% Gin 700ml [012341],700ml
012351,GORDONS,70,28.0,14.60,0.00,0.00,1.2,17.52,1.8,26.28			,41,Gordons Special Dry Gin 700ml [012351],700ml
012353,GORDONS CHERRY,70,28.0,17.24,0.00,0.00,2.0,34.48,0.6,10.34			,164,Gordons Cherry Gin 700ml [012353],700ml
012355,GORDONS MED ORANGE,70,28.0,13.80,0.00,0.00,2.9,40.02,2.6,35.88			,165,Gordons Med Orange Gin 700ml [012355],700ml
012357,GORDONS LEMON,70,28.0,27.89,0.00,0.00,1.2,33.47,0.8,22.31			,166,Gordons Lemon Gin 700ml [012357],700ml
012359,GORDONS PEACH,70,28.0,17.24,0.00,0.00,1.6,27.58,1.4,24.14			,167,Gordons Peach Gin 700ml [012359],700ml
012361,GORDONS PINK,70,28.0,18.10,0.00,0.00,1.8,32.58,2.1,38.01			,40,Gordons Pink Gin 700ml [012361],700ml
012421,HENDRICKS,70,28.0,28.10,0.00,0.00,0.2,5.62,0.0,0.00			,44,Hendricks Gin 700ml [012421],700ml
012621,NELSONS GIN,70,28.0,24.57,0.00,0.00,0.7,17.20,0.7,17.20			,264,Nelsons Gin 700ml [012621],700ml
