Code,Name,Size,Yield,UnitCost,MesSellPrice,UnitSelPrice,OpenStockUnit,OpenStockPrice,StockHoldingUnits,StockHoldingPrice
011580,MORGANS SPICED,150,60.0,55.18,0.00,0.00,1.4,77.25,0.1,5.52			
011601,NELSONS RUM,70,28.0,24.57,0.00,0.00,0.9,22.11,0.9,22.11			
012360,GORDONS PINK,150,60.0,15.83,0.00,0.00,0.4,6.33,0.0,0.00			
012801,ROKU,70,28.0,31.69,0.00,0.00,0.1,3.17,0.0,0.00			
013950,WHYTE & MAKAY,150,60.0,29.16,0.00,0.00,0.9,26.24,0.9,26.24
015340,JACK DANIELS,150,60.0,44.05,0.00,0.00,0.5,22.03,0.0,0.00	
015720,JAMESON,150,60.0,34.02,0.00,0.00,0.7,23.81,0.7,23.81
016371,JJ WHITLEY VODKA,70,28.0,25.50,0.00,0.00,0.3,7.65,0.0,0.00
018150,BAILEYS IRISH CRM,150,30.0,30.36,0.00,0.00,1.0,30.36,0.0,0.00
019050,MALIBU ORIGINAL,150,60.0,27.13,0.00,0.00,0.7,18.99,0.1,2.71
034111,MALBEC CIMA,BOT,1.0,7.06,0.00,0.00,13.7,96.72,0.0,0.00
034581,MERLOT IL MOLO,BOT,1.0,5.00,0.00,0.00,5.0,25.00,0.0,0.00
034621,P/GRIGIO IL MOLO,BOT,1.0,5.00,0.00,0.00,3.0,15.00,0.0,0.00
071599,F/TREE MED,200,12.0,4.63,0.00,0.00,0.8,3.84,0.0,0.00
075621,RADNOR HILLS WATER,330,12.0,2.04,0.00,0.00,0.4,0.86,0.0,0.00
077301,COCA COLA CN,330,12.0,8.20,0.00,0.00,6.3,51.66,5.0,41.00
077311,COKE ZERO CN,330,12.0,1.00,0.00,0.00,1.1,1.08,0.0,0.00
077901,TANGO CANS,330,12.0,4.79,0.00,0.00,12.3,58.68,0.0,0.00
077921,PET FANTA,500,12.0,13.40,0.00,0.00,7.5,100.50,0.0,0.00
077941,PET LUCOZADE,500,12.0,10.25,0.00,0.00,3.3,34.13,0.0,0.00
077951,PET OASIS,500,12.0,14.39,0.00,0.00,4.7,67.20,0.0,0.00
077971,PET VIMTO,500,12.0,1.00,0.00,0.00,0.3,0.25,0.0,0.00
077992,COCA COLA ICON,330,12.0,10.63,0.00,0.00,0.0,0.00,1.9,20.20
071611,FRUIT SHOOTS,275,12.0,5.55,0.00,0.00,6.4,35.52,4.3,23.87
012623,NELSONS FLV GIN,70,28.0,24.57,0.00,0.00,1.1,27.03,1.5,36.86	
011605,NELSONS FLV RUM,70,28.0,24.57,0.00,0.00,1.7,41.77,1.5,36.86			
019611,SOURZ,70,28.0,7.88,0.00,0.00,2.0,15.76,2.0,15.76
071191,BRITVIC J2O,275,12.0,13.54,0.00,0.00,13.2,178.73,9.9,134.05 		
076171,POSTMIX CORDIAL,LTR,20.0,1.44,0.00,0.00,63.0,90.72,55.0,79.20
090601,CRISPS PIPERS 40G,TEN,10.0,6.20,0.00,0.00,16.2,100.44,18.8,116.56
042731,T.TAYLOR L/LORD,GAL,8.0,12.01,0.00,0.00,21.0,252.21,0.0,0.00
044121,TAIHEKE,GAL,8.0,10.00,0.00,0.00,9.0,90.00,0.0,0.00	
044321,ROCKING RUDOLPH,GAL,8.0,9.78,0.00,0.00,8.0,78.24,0.0,0.00
045721,XT4 SESSION AMBER,GAL,8.0,9.78,0.00,0.00,9.0,88.02,0.0,0.00
048502,TURTLE TRPICAL,GAL,8.0,10.46,0.00,0.00,0.0,0.00,4.4,46.02
048503,SPOT ON,GAL,8.0,10.46,0.00,0.00,0.0,0.00,4.4,46.02
048504,LUNA PEACH PALE,GAL,8.0,10.91,0.00,0.00,0.0,0.00,4.4,48.00
048505,BLONDE ALE,GAL,8.0,10.44,0.00,0.00,0.0,0.00,3.0,31.32
